feedback,sentiment,category
"Today, the support staff were polite and professional Please look into it.",neutral,support
"Recently, the password reset link is not working I need assistance.",negative,login
"Honestly, the payment page shows an error",neutral,payment
"Recently, login takes me back to the sign in page I need assistance.",negative,login
"Honestly, the notification is showing the wrong information I need assistance.",negative,bug
Nobody from customer support has contacted me Please help.,negative,support
"Recently, pages are loading slowly This is frustrating.",negative,performance
"Honestly, pages are loading slowly",negative,performance
"Honestly, the order status is displaying incorrectly This is frustrating.",negative,bug
"Today, the transaction was declined Please help.",negative,payment
"Unfortunately, i would like an option to download invoices Please look into it.",neutral,feature_request
I noticed that money was deducted but the payment failed I need assistance.,negative,payment
"Honestly, i have not received a response from support Can you fix this?",positive,support
"Recently, the customer care representative was helpful",neutral,support
"Today, the interface needs improvement This happens repeatedly.",negative,ui
"Honestly, the support team did not resolve my problem I need assistance.",positive,support
"Recently, the design is simple and user friendly Please help.",negative,ui
I noticed that uPI payment is not going through Please look into it.,negative,payment
"Honestly, the app logs me out whenever I try to sign in Please help.",negative,login
"Today, my account login keeps failing I need assistance.",negative,login
I noticed that uPI payment is not going through Can you fix this?,neutral,payment
"Recently, the support team solved my issue quickly",negative,support
I am having trouble because the login page is not working Please help.,neutral,login
"For some reason, the support experience was disappointing Can you fix this?",neutral,support
"Recently, it takes forever to open the dashboard Please help.",negative,performance
I am having trouble because the new interface looks clean I need assistance.,neutral,ui
I noticed that the card payment keeps failing Please help.,negative,payment
"Honestly, the dashboard looks great This is frustrating.",positive,ui
"Honestly, the buttons are difficult to find This is frustrating.",positive,ui
I am having trouble because the colors and layout make the app easy to use This is frustrating.,positive,ui
"For some reason, i have not received a response from support This is frustrating.",positive,support
"Honestly, i cannot login to my account I need assistance.",negative,login
"Unfortunately, the support experience was disappointing I need assistance.",positive,support
"Unfortunately, please provide an option to change the language Please look into it.",neutral,feature_request
"Recently, please add dark mode to the application I need assistance.",neutral,feature_request
The application is very slow Can you fix this?,negative,performance
"For some reason, the application is very slow This happens repeatedly.",negative,performance
"Honestly, the colors and layout make the app easy to use Can you fix this?",negative,ui
"For some reason, the login page is not working Please help.",negative,login
I noticed that it takes forever to open the dashboard Can you fix this?,negative,performance
"Honestly, my payment failed while placing the order Please look into it.",negative,payment
I noticed that the support staff were polite and professional Please look into it.,positive,support
"Recently, the buttons are difficult to find This happens repeatedly.",negative,ui
"Recently, it would be great to have a dark theme Please look into it.",neutral,feature_request
I noticed that the website response time is very poor This happens repeatedly.,negative,performance
I noticed that the support team solved my issue quickly I need assistance.,positive,support
The app crashes whenever I upload a file This happens repeatedly.,negative,bug
"Honestly, money was deducted but the payment failed Please look into it.",negative,payment
Please add a filter for previous orders Please look into it.,positive,feature_request
"Today, the colors and layout make the app easy to use I need assistance.",negative,ui
"Recently, the customer care representative was helpful Please look into it.",negative,support
I am having trouble because the password reset link is not working Please help.,neutral,login
"Recently, my account login keeps failing Please help.",negative,login
"Recently, it takes forever to open the dashboard",negative,performance
"Today, please add notifications for price changes Can you fix this?",neutral,feature_request
I am having trouble because the app becomes slow during checkout Please help.,negative,performance
I am having trouble because the design is simple and user friendly This happens repeatedly.,positive,ui
"Recently, the support team solved my issue quickly Can you fix this?",neutral,support
"Unfortunately, the colors and layout make the app easy to use Please help.",negative,ui
I noticed that support took too long to respond Please help.,negative,support
"Unfortunately, the new interface looks clean I need assistance.",positive,ui
"Unfortunately, the interface needs improvement Please help.",neutral,ui
I noticed that the order status is displaying incorrectly,negative,bug
"For some reason, every screen takes a long time to open Can you fix this?",negative,performance
The customer care representative was helpful I need assistance.,positive,support
"For some reason, the page becomes blank after clicking the button Please help.",negative,bug
Pages are loading slowly This happens repeatedly.,negative,performance
I am having trouble because the text on the screen is too small I need assistance.,positive,ui
"Today, the support experience was disappointing This happens repeatedly.",negative,support
I am having trouble because the app shows an error after checkout I need assistance.,neutral,bug
"For some reason, i cannot login to my account This happens repeatedly.",negative,login
"Today, the application closes unexpectedly This is frustrating.",negative,bug
I noticed that the application is very slow Please look into it.,negative,performance
I am having trouble because please add dark mode to the application Please help.,neutral,feature_request
It takes forever to open the dashboard This is frustrating.,negative,performance
"Today, i found a bug in the checkout process This is frustrating.",negative,bug
"For some reason, the buttons are difficult to find Can you fix this?",negative,ui
"Unfortunately, login takes me back to the sign in page",negative,login
My payment is stuck This happens repeatedly.,negative,payment
"Recently, my payment failed while placing the order This is frustrating.",negative,payment
"For some reason, i was charged but the order was not placed",negative,payment
"Today, i would like an option to download invoices This happens repeatedly.",neutral,feature_request
"Today, the app crashes whenever I upload a file Can you fix this?",negative,bug
I am having trouble because something is broken in the application This happens repeatedly.,negative,bug
I noticed that nobody from customer support has contacted me,negative,support
"Unfortunately, i found a bug in the checkout process Please help.",negative,bug
I noticed that customer service was very helpful This is frustrating.,positive,support
"Honestly, the password reset link is not working I need assistance.",negative,login
"Recently, the app logs me out whenever I try to sign in Can you fix this?",negative,login
I have not received a response from support This happens repeatedly.,negative,support
"Today, the login page is not working I need assistance.",negative,login
"For some reason, something is broken in the application",negative,bug
I noticed that the search results are incorrect This is frustrating.,negative,bug
"Honestly, the app becomes slow during checkout This is frustrating.",negative,performance
"Unfortunately, the design is simple and user friendly I need assistance.",neutral,ui
"Recently, the application freezes frequently This happens repeatedly.",negative,performance
"For some reason, the app takes too long to load This happens repeatedly.",negative,performance
"Recently, every screen takes a long time to open",negative,performance
I noticed that i would like to schedule deliveries I need assistance.,neutral,feature_request
"Today, the app takes too long to load Please help.",negative,performance
"Today, i cannot complete the payment I need assistance.",negative,payment
"Unfortunately, the transaction was declined Can you fix this?",negative,payment
"Honestly, can you add fingerprint login Please help.",positive,feature_request
I noticed that the new interface looks clean,positive,ui
"Unfortunately, the support team did not resolve my problem Can you fix this?",positive,support
"Honestly, pages are loading slowly This is frustrating.",negative,performance
"Today, the buttons are difficult to find This is frustrating.",positive,ui
"Honestly, please add notifications for price changes I need assistance.",neutral,feature_request
"Recently, support took too long to respond Can you fix this?",negative,support
"For some reason, the application crashes when I open my profile This happens repeatedly.",negative,bug
"Honestly, please add more payment methods Can you fix this?",neutral,feature_request
"Recently, the support team solved my issue quickly Please look into it.",negative,support
I am having trouble because i am unable to access my account Can you fix this?,negative,login
"Honestly, the website is extremely slow today Please look into it.",negative,performance
"Recently, uPI payment is not going through",negative,payment
"Recently, the app logs me out whenever I try to sign in Please help.",negative,login
I noticed that please provide an option to change the language I need assistance.,neutral,feature_request
"For some reason, my account login keeps failing I need assistance.",negative,login
"For some reason, the password reset link is not working Can you fix this?",negative,login
I am having trouble because the buttons are difficult to find This is frustrating.,positive,ui
"Honestly, the transaction was declined Please look into it.",negative,payment
"For some reason, i cannot verify my account Please help.",negative,login
"For some reason, the application closes unexpectedly Please help.",neutral,bug
"For some reason, the order status is displaying incorrectly This is frustrating.",negative,bug
I noticed that the transaction was declined,negative,payment
"Today, the app crashes whenever I upload a file I need assistance.",negative,bug
"Unfortunately, the search results are incorrect Can you fix this?",negative,bug
"Today, login takes me back to the sign in page This is frustrating.",neutral,login
"Unfortunately, the app shows an error after checkout This is frustrating.",neutral,bug
I noticed that the application is very slow I need assistance.,negative,performance
"Unfortunately, money was deducted but the payment failed This is frustrating.",negative,payment
"For some reason, the transaction was declined Please look into it.",negative,payment
"Honestly, i forgot my password and cannot sign in Can you fix this?",negative,login
"Honestly, support took too long to respond",neutral,support
"Honestly, the app shows an error after checkout I need assistance.",negative,bug
The support staff were polite and professional Can you fix this?,positive,support
"Today, i have not received a response from support This is frustrating.",positive,support
I am having trouble because it would be useful to have a wishlist Please look into it.,positive,feature_request
I noticed that the menu layout is confusing Please look into it.,positive,ui
I noticed that the page becomes blank after clicking the button Please look into it.,negative,bug
"Honestly, the support staff were polite and professional Please look into it.",negative,support
I noticed that i would like an option to download invoices This happens repeatedly.,neutral,feature_request
"For some reason, my payment failed while placing the order I need assistance.",negative,payment
"Recently, please add more payment methods This happens repeatedly.",neutral,feature_request
I am having trouble because the app takes too long to load Please look into it.,neutral,performance
"Honestly, i cannot verify my account I need assistance.",neutral,login
"Honestly, the menu layout is confusing Can you fix this?",negative,ui
I am having trouble because i forgot my password and cannot sign in,negative,login
"Unfortunately, please provide an option to change the language Please help.",neutral,feature_request
"For some reason, the application closes unexpectedly",negative,bug
"Honestly, i found a bug in the checkout process Please look into it.",neutral,bug
"Recently, please add more payment methods This is frustrating.",positive,feature_request
"For some reason, please provide an option to change the language This happens repeatedly.",neutral,feature_request
"Honestly, i would like an option to download invoices This is frustrating.",neutral,feature_request
"Today, the application is very slow Please help.",negative,performance
"Honestly, my account login keeps failing Please help.",neutral,login
I am having trouble because i found a bug in the checkout process This happens repeatedly.,negative,bug
It would be great to have a dark theme This happens repeatedly.,neutral,feature_request
"Honestly, i was charged but the order was not placed Can you fix this?",negative,payment
I am having trouble because the order status is displaying incorrectly Please look into it.,negative,bug
"Unfortunately, customer service was very helpful Please help.",negative,support
"Honestly, the application closes unexpectedly I need assistance.",negative,bug
"Recently, the application freezes frequently Please look into it.",neutral,performance
I am having trouble because the app shows an error after checkout Can you fix this?,negative,bug
"Honestly, i am happy with the assistance I received I need assistance.",negative,support
"Honestly, the customer care representative was helpful",positive,support
"Unfortunately, i have not received a response from support",negative,support
"Recently, the app shows an error after checkout Can you fix this?",neutral,bug
I am having trouble because the dashboard looks great I need assistance.,negative,ui
I am having trouble because the support team solved my issue quickly Please look into it.,positive,support
I noticed that i cannot verify my account This happens repeatedly.,negative,login
"Today, it would be great to have a dark theme Please look into it.",neutral,feature_request
I noticed that every screen takes a long time to open Please look into it.,negative,performance
The notification is showing the wrong information This is frustrating.,negative,bug
"Today, i am unable to access my account This is frustrating.",negative,login
"Unfortunately, login takes me back to the sign in page This is frustrating.",negative,login
Money was deducted but the payment failed I need assistance.,negative,payment
I noticed that the application crashes when I open my profile Can you fix this?,neutral,bug
I am having trouble because something is broken in the application Please look into it.,negative,bug
I am having trouble because please add a filter for previous orders,neutral,feature_request
"Honestly, the app crashes whenever I upload a file I need assistance.",neutral,bug
Please add dark mode to the application Please look into it.,neutral,feature_request
"Today, the support team solved my issue quickly I need assistance.",negative,support
"Today, nobody from customer support has contacted me Can you fix this?",neutral,support
"Unfortunately, the website is extremely slow today I need assistance.",neutral,performance
My account login keeps failing Please look into it.,negative,login
"Today, i am unable to pay for my order Please look into it.",negative,payment
"Honestly, the app crashes whenever I upload a file This is frustrating.",negative,bug
I am having trouble because i am unable to access my account Can you fix this?,negative,login
I am having trouble because the dashboard looks great Can you fix this?,positive,ui
"Today, the dashboard looks great This happens repeatedly.",negative,ui
"Unfortunately, the support experience was disappointing This happens repeatedly.",positive,support
I noticed that the application is very slow This is frustrating.,neutral,performance
"Honestly, money was deducted but the payment failed",negative,payment
"Today, i cannot login to my account This happens repeatedly.",negative,login
"Honestly, i cannot verify my account I need assistance.",negative,login
"Today, please add a filter for previous orders This is frustrating.",neutral,feature_request
"Unfortunately, the application is very slow Please look into it.",negative,performance
"Unfortunately, the colors and layout make the app easy to use This is frustrating.",positive,ui
I am having trouble because the text on the screen is too small,positive,ui
"Recently, please add more payment methods I need assistance.",neutral,feature_request
I noticed that the support staff were polite and professional I need assistance.,negative,support
Login takes me back to the sign in page This happens repeatedly.,negative,login
I am having trouble because the search results are incorrect This happens repeatedly.,negative,bug
"Unfortunately, the website response time is very poor Please look into it.",negative,performance
"Honestly, the text on the screen is too small",negative,ui
"Honestly, i am unable to access my account I need assistance.",negative,login
"For some reason, the text on the screen is too small This is frustrating.",positive,ui
"Recently, the notification is showing the wrong information This is frustrating.",negative,bug
"Recently, i have not received a response from support Can you fix this?",negative,support
I noticed that the colors and layout make the app easy to use This happens repeatedly.,negative,ui
I noticed that i cannot complete the payment,negative,payment
"Today, the dashboard looks great",positive,ui
I am having trouble because the application interface is easy to use Please help.,positive,ui
"Today, the support team solved my issue quickly Please help.",negative,support
I noticed that customer service was very helpful This is frustrating.,positive,support
"Recently, my payment is stuck I need assistance.",negative,payment
"For some reason, i would like an option to download invoices Can you fix this?",neutral,feature_request
"Recently, the page becomes blank after clicking the button I need assistance.",negative,bug
"Honestly, the support staff were polite and professional Please look into it.",positive,support
I am having trouble because the menu layout is confusing This is frustrating.,negative,ui
"Today, the password reset link is not working Please help.",negative,login
"Today, the dashboard looks great Can you fix this?",negative,ui
"Honestly, the card payment keeps failing Can you fix this?",negative,payment
I noticed that please add a filter for previous orders Please help.,neutral,feature_request
"Unfortunately, i would like an option to download invoices Please look into it.",neutral,feature_request
I noticed that i cannot verify my account,negative,login
"Unfortunately, i have not received a response from support This happens repeatedly.",positive,support
"For some reason, the application closes unexpectedly This happens repeatedly.",negative,bug
The colors and layout make the app easy to use Please look into it.,negative,ui
"Today, my payment failed while placing the order This happens repeatedly.",negative,payment
I noticed that the application is very slow,negative,performance
"Honestly, i was charged but the order was not placed I need assistance.",negative,payment
"Honestly, the application freezes frequently This is frustrating.",negative,performance
"Honestly, the transaction was declined Can you fix this?",negative,payment
"Honestly, the payment page shows an error This is frustrating.",negative,payment
"Honestly, the application is very slow Please look into it.",negative,performance
The password reset link is not working Please look into it.,negative,login
"Unfortunately, i cannot complete the payment Can you fix this?",negative,payment
I am having trouble because i was charged but the order was not placed Can you fix this?,negative,payment
I am having trouble because the search results are incorrect Please look into it.,negative,bug
"For some reason, the app shows an error after checkout I need assistance.",negative,bug
"Honestly, the support experience was disappointing Please help.",neutral,support
I noticed that the menu layout is confusing Please help.,positive,ui
"Today, my account login keeps failing Please help.",negative,login
"Today, the notification is showing the wrong information This is frustrating.",negative,bug
"Today, i found a bug in the checkout process",negative,bug
I noticed that the buttons are difficult to find I need assistance.,positive,ui
"Unfortunately, i am unable to pay for my order This is frustrating.",negative,payment
Pages are loading slowly,negative,performance
I am having trouble because i would like to schedule deliveries I need assistance.,positive,feature_request
"Honestly, i cannot login to my account I need assistance.",negative,login
"Honestly, i forgot my password and cannot sign in Please look into it.",negative,login
"Recently, i would like to schedule deliveries This is frustrating.",neutral,feature_request
"Unfortunately, i found a bug in the checkout process This happens repeatedly.",negative,bug
"Recently, the app logs me out whenever I try to sign in",negative,login
"Today, the support staff were polite and professional Please look into it.",negative,support
I noticed that can you add fingerprint login This happens repeatedly.,positive,feature_request
The colors and layout make the app easy to use Please help.,positive,ui
"Honestly, the buttons are difficult to find Please look into it.",negative,ui
I noticed that my account login keeps failing Can you fix this?,negative,login
"Honestly, the transaction was declined This happens repeatedly.",negative,payment
I noticed that my account login keeps failing,negative,login
I noticed that it would be useful to have a wishlist Can you fix this?,neutral,feature_request
"Today, money was deducted but the payment failed",negative,payment
"Honestly, the login page is not working Please help.",negative,login
"Recently, the new interface looks clean Can you fix this?",neutral,ui
"Recently, the application interface is easy to use Please look into it.",negative,ui
"Honestly, i found a bug in the checkout process",neutral,bug
I am having trouble because i have not received a response from support Can you fix this?,positive,support
"For some reason, the login page is not working This is frustrating.",negative,login
Can you add fingerprint login I need assistance.,neutral,feature_request
"For some reason, i cannot complete the payment Please help.",negative,payment
"Unfortunately, the support team solved my issue quickly This is frustrating.",negative,support
I noticed that the application is lagging badly,negative,performance
"Unfortunately, i am unable to pay for my order Please look into it.",negative,payment
"Recently, i cannot login to my account Please look into it.",negative,login
"Today, the application is lagging badly I need assistance.",neutral,performance
The application crashes when I open my profile Please look into it.,negative,bug
I am having trouble because please add dark mode to the application Can you fix this?,positive,feature_request
"Today, my payment failed while placing the order Please look into it.",negative,payment
"Today, the password reset link is not working This happens repeatedly.",negative,login
"Recently, the navigation is difficult to understand Please help.",negative,ui
"For some reason, the text on the screen is too small Please look into it.",positive,ui
"Honestly, i cannot verify my account I need assistance.",negative,login
"Honestly, i am unable to access my account This happens repeatedly.",negative,login
"Today, the customer care representative was helpful This is frustrating.",negative,support
"Honestly, customer service was very helpful This is frustrating.",positive,support
"Honestly, i forgot my password and cannot sign in Can you fix this?",negative,login
"Honestly, the website response time is very poor Please look into it.",negative,performance
I noticed that the support team did not resolve my problem This is frustrating.,negative,support
"Recently, the customer care representative was helpful I need assistance.",negative,support
I noticed that the buttons are difficult to find Please help.,positive,ui
"Recently, login takes me back to the sign in page I need assistance.",negative,login
"Unfortunately, the login page is not working I need assistance.",negative,login
"Today, the password reset link is not working Can you fix this?",negative,login
I noticed that can you add fingerprint login Please help.,neutral,feature_request
"Today, it would be great to have a dark theme Please look into it.",positive,feature_request
I am having trouble because please add more payment methods Please help.,positive,feature_request
I cannot complete the payment Can you fix this?,neutral,payment
I have not received a response from support This is frustrating.,negative,support
"Recently, please add notifications for price changes Please help.",neutral,feature_request
I noticed that the interface needs improvement Can you fix this?,positive,ui
I am having trouble because the login page is not working Please look into it.,neutral,login
"Honestly, i cannot complete the payment Please look into it.",negative,payment
I noticed that the new interface looks clean This happens repeatedly.,positive,ui
"Recently, it would be great to have a dark theme Please look into it.",neutral,feature_request
"Unfortunately, my account login keeps failing Please look into it.",negative,login
"Today, i would like an option to download invoices Can you fix this?",neutral,feature_request
"Unfortunately, the application interface is easy to use This is frustrating.",positive,ui
"Recently, please add more payment methods",positive,feature_request
"Unfortunately, the colors and layout make the app easy to use This happens repeatedly.",positive,ui
"Recently, i cannot verify my account Please look into it.",negative,login
I noticed that something is broken in the application I need assistance.,negative,bug
"Honestly, the website is extremely slow today I need assistance.",negative,performance
I am having trouble because the notification is showing the wrong information This is frustrating.,negative,bug
"For some reason, the password reset link is not working Please help.",negative,login
"Honestly, the menu layout is confusing",negative,ui
"Recently, customer service was very helpful Can you fix this?",positive,support
The support staff were polite and professional Please help.,negative,support
The OTP is not arriving during login Please help.,negative,login
I am having trouble because the card payment keeps failing I need assistance.,negative,payment
"For some reason, the transaction was declined",neutral,payment
"Unfortunately, the login page is not working Please help.",negative,login
"Recently, the support staff were polite and professional Please help.",negative,support
I have not received a response from support Please help.,negative,support
"Today, i am unable to access my account Please help.",neutral,login
"Today, the website is extremely slow today Please look into it.",negative,performance
I cannot verify my account Can you fix this?,neutral,login
"Honestly, the text on the screen is too small I need assistance.",positive,ui
I am having trouble because the menu layout is confusing,neutral,ui
"Unfortunately, the support team did not resolve my problem Please help.",negative,support
"Unfortunately, the password reset link is not working This is frustrating.",negative,login
"Recently, it takes forever to open the dashboard I need assistance.",negative,performance
"Unfortunately, the application is very slow Please help.",negative,performance
I am having trouble because pages are loading slowly Can you fix this?,negative,performance
I am having trouble because the website is extremely slow today Please look into it.,negative,performance
"Unfortunately, the interface needs improvement This happens repeatedly.",negative,ui
"For some reason, the page becomes blank after clicking the button Can you fix this?",negative,bug
"For some reason, please add a filter for previous orders Can you fix this?",positive,feature_request
"Recently, the customer care representative was helpful Please help.",negative,support
"Unfortunately, i found a bug in the checkout process Please help.",negative,bug
"Unfortunately, the menu layout is confusing This happens repeatedly.",positive,ui
I noticed that the support team did not resolve my problem This happens repeatedly.,negative,support
Please add notifications for price changes This happens repeatedly.,neutral,feature_request
"Honestly, the password reset link is not working Please help.",negative,login
"Recently, i cannot login to my account This is frustrating.",negative,login
"For some reason, please add dark mode to the application Can you fix this?",neutral,feature_request
"Today, the dashboard looks great Please help.",positive,ui
I noticed that please add more payment methods This happens repeatedly.,neutral,feature_request
"Recently, the application interface is easy to use",positive,ui
"Recently, i cannot login to my account Can you fix this?",negative,login
"Unfortunately, my payment is stuck This happens repeatedly.",negative,payment
"Unfortunately, i was charged but the order was not placed This is frustrating.",negative,payment
The navigation is difficult to understand Can you fix this?,positive,ui
"Today, i am happy with the assistance I received I need assistance.",positive,support
I am having trouble because it would be useful to have a wishlist This happens repeatedly.,neutral,feature_request
"Unfortunately, the transaction was declined Can you fix this?",negative,payment
"For some reason, the support staff were polite and professional This happens repeatedly.",positive,support
I noticed that i cannot login to my account This is frustrating.,negative,login
I am having trouble because i would like to schedule deliveries,neutral,feature_request
"Today, the menu layout is confusing Can you fix this?",neutral,ui
"Unfortunately, the app takes too long to load",negative,performance
I noticed that i forgot my password and cannot sign in I need assistance.,negative,login
"Recently, the support team solved my issue quickly Please help.",positive,support
"Recently, i would like to schedule deliveries Please help.",neutral,feature_request
"Today, the search results are incorrect This happens repeatedly.",negative,bug
"Honestly, the support team did not resolve my problem Please help.",positive,support
"Honestly, i was charged but the order was not placed I need assistance.",negative,payment
Support took too long to respond I need assistance.,neutral,support
I noticed that i am unable to pay for my order I need assistance.,negative,payment
"Honestly, please add a filter for previous orders I need assistance.",neutral,feature_request
"Recently, nobody from customer support has contacted me This is frustrating.",negative,support
"Honestly, the password reset link is not working Can you fix this?",negative,login
I forgot my password and cannot sign in,negative,login
I noticed that the navigation is difficult to understand Please help.,negative,ui
"Recently, the text on the screen is too small Please help.",neutral,ui
"Honestly, i cannot verify my account This is frustrating.",negative,login
I noticed that the customer care representative was helpful Please look into it.,positive,support
"Today, my payment failed while placing the order Can you fix this?",negative,payment
I am having trouble because please provide an option to change the language This is frustrating.,neutral,feature_request
I noticed that please add more payment methods This is frustrating.,neutral,feature_request
"For some reason, my payment failed while placing the order This happens repeatedly.",negative,payment
I am having trouble because the search results are incorrect Please look into it.,negative,bug
I noticed that the login page is not working Can you fix this?,negative,login
"Honestly, my payment failed while placing the order Please look into it.",negative,payment
I noticed that the app crashes whenever I upload a file Please help.,neutral,bug
"For some reason, i have not received a response from support I need assistance.",negative,support
I noticed that the buttons are difficult to find This happens repeatedly.,positive,ui
The new interface looks clean Please help.,negative,ui
"Recently, my account login keeps failing This happens repeatedly.",negative,login
I noticed that the transaction was declined Please look into it.,negative,payment
"Honestly, the website response time is very poor Please help.",negative,performance
"Today, my payment failed while placing the order",negative,payment
I am having trouble because i forgot my password and cannot sign in Can you fix this?,negative,login
I noticed that the app crashes whenever I upload a file Can you fix this?,negative,bug
I noticed that the notification is showing the wrong information,negative,bug
"Today, the search results are incorrect Can you fix this?",negative,bug
"Honestly, the support staff were polite and professional",negative,support
I am having trouble because the order status is displaying incorrectly,negative,bug
"Unfortunately, it would be great to have a dark theme This is frustrating.",neutral,feature_request
"For some reason, i would like an option to download invoices Please look into it.",positive,feature_request
"Recently, i am unable to access my account This is frustrating.",neutral,login
I am having trouble because login takes me back to the sign in page Can you fix this?,negative,login
I noticed that money was deducted but the payment failed This is frustrating.,neutral,payment
"For some reason, the new interface looks clean Please help.",negative,ui
"Honestly, the buttons are difficult to find Can you fix this?",negative,ui
"Honestly, the application crashes when I open my profile This is frustrating.",negative,bug
I am having trouble because the transaction was declined This is frustrating.,negative,payment
I am unable to pay for my order Can you fix this?,negative,payment
I am having trouble because the support team solved my issue quickly I need assistance.,negative,support
"Today, the notification is showing the wrong information",negative,bug
"Unfortunately, i am happy with the assistance I received This is frustrating.",negative,support
I am having trouble because the order status is displaying incorrectly Please look into it.,negative,bug
"For some reason, i am happy with the assistance I received Can you fix this?",positive,support
Login takes me back to the sign in page Can you fix this?,negative,login
"Honestly, please add notifications for price changes This is frustrating.",neutral,feature_request
"Unfortunately, the buttons are difficult to find This is frustrating.",neutral,ui
"Today, the support team solved my issue quickly This happens repeatedly.",negative,support
"Recently, the text on the screen is too small",negative,ui
"Unfortunately, the website response time is very poor Please help.",negative,performance
I noticed that support took too long to respond Can you fix this?,negative,support
I am having trouble because the application freezes frequently Can you fix this?,neutral,performance
I noticed that the dashboard looks great This happens repeatedly.,positive,ui
I noticed that customer service was very helpful I need assistance.,negative,support
"Unfortunately, i forgot my password and cannot sign in Can you fix this?",negative,login
"Unfortunately, the application interface is easy to use Please help.",positive,ui
I found a bug in the checkout process Can you fix this?,negative,bug
"For some reason, the order status is displaying incorrectly This happens repeatedly.",negative,bug
"For some reason, it would be great to have a dark theme",positive,feature_request
"Honestly, the card payment keeps failing Can you fix this?",negative,payment
"Honestly, i am unable to pay for my order Please look into it.",negative,payment
"Recently, i was charged but the order was not placed",negative,payment
"Recently, the OTP is not arriving during login Please help.",negative,login
"For some reason, the card payment keeps failing This happens repeatedly.",negative,payment
"Today, the website is extremely slow today",negative,performance
"Honestly, i cannot login to my account This happens repeatedly.",negative,login
I noticed that i cannot verify my account Please help.,negative,login
"Today, customer service was very helpful Please look into it.",negative,support
I am having trouble because the application is lagging badly This is frustrating.,negative,performance
I am having trouble because please provide an option to change the language Please help.,neutral,feature_request
"Recently, the design is simple and user friendly Please help.",negative,ui
"For some reason, the application is lagging badly Please help.",negative,performance
I noticed that please add a filter for previous orders,positive,feature_request
I noticed that uPI payment is not going through This is frustrating.,negative,payment
Money was deducted but the payment failed This happens repeatedly.,negative,payment
"Recently, it would be useful to have a wishlist",neutral,feature_request
"Today, the buttons are difficult to find This is frustrating.",negative,ui
"Honestly, i cannot verify my account Can you fix this?",negative,login
Money was deducted but the payment failed Can you fix this?,neutral,payment
"For some reason, the support team did not resolve my problem Please look into it.",negative,support
I noticed that the website response time is very poor I need assistance.,negative,performance
"Recently, the OTP is not arriving during login Can you fix this?",negative,login
The page becomes blank after clicking the button This is frustrating.,negative,bug
"Recently, my payment is stuck This happens repeatedly.",negative,payment
I noticed that please add dark mode to the application This happens repeatedly.,neutral,feature_request
Please add notifications for price changes Can you fix this?,neutral,feature_request
"For some reason, the application closes unexpectedly Can you fix this?",negative,bug
"Unfortunately, the password reset link is not working This happens repeatedly.",negative,login
"Unfortunately, my payment failed while placing the order This happens repeatedly.",negative,payment
I am having trouble because i cannot login to my account This is frustrating.,neutral,login
I am having trouble because the payment page shows an error This happens repeatedly.,negative,payment
"Unfortunately, i cannot login to my account This is frustrating.",negative,login
"For some reason, the notification is showing the wrong information This is frustrating.",negative,bug
"Unfortunately, the new interface looks clean I need assistance.",positive,ui
"For some reason, i have not received a response from support",negative,support
