,CustomerID,Age,Gender,DeviceType,TrafficSource,PagesViewed,TimeOnSite,CartItems,PreviousPurchases,AverageOrderValue,DiscountUsed,Purchase
107,C00108,54,Female,Desktop,Direct,3,4,3,7,131,1,1
108,C00109,52,Male,Mobile,Direct,8,3,5,9,110,0,1
109,C00110,57,Male,Mobile,Email,9,2,5,2,48,1,1
110,C00111,39,Male,Desktop,Social Media,3,9,4,5,31,0,1
111,C00112,44,Female,Tablet,Social Media,1,6,3,2,166,0,0
112,C00113,52,Male,Mobile,Direct,1,3,1,8,156,0,0
113,C00114,18,Male,Tablet,Email,7,9,2,2,176,0,0
114,C00115,52,Male,Mobile,Search Engine,5,4,5,1,278,1,1
115,C00116,54,Female,Desktop,Direct,13,4,4,8,106,0,1
116,C00117,31,Female,Tablet,Search Engine,14,8,2,7,177,0,1
117,C00118,20,Male,Mobile,Search Engine,1,7,0,7,205,1,0
118,C00119,18,Female,Desktop,Email,6,7,4,1,248,0,0
119,C00120,22,Male,Desktop,Email,14,7,0,5,23,0,1
120,C00121,43,Male,Desktop,Social Media,6,5,5,4,76,0,0
121,C00122,31,Male,Tablet,Social Media,14,7,4,1,47,0,0
122,C00123,56,Male,Tablet,Email,4,4,1,4,35,1,0
123,C00124,44,Female,Desktop,Direct,7,8,2,3,32,1,1
124,C00125,26,Female,Tablet,Social Media,7,9,2,8,219,1,1
125,C00126,32,Female,Mobile,Search Engine,12,3,3,0,203,1,0
126,C00127,32,Female,Desktop,Direct,9,7,4,5,177,0,0
127,C00128,43,Male,Desktop,Search Engine,12,9,4,6,278,0,1
128,C00129,59,Female,Tablet,Email,1,1,0,5,176,1,0
129,C00130,30,Male,Desktop,Search Engine,5,2,4,4,113,0,0
130,C00131,49,Female,Mobile,Direct,10,7,2,3,286,1,1
131,C00132,56,Female,Tablet,Email,3,2,4,4,40,0,0
132,C00133,49,Female,Tablet,Direct,7,7,3,8,146,1,1
133,C00134,21,Male,Desktop,Search Engine,4,1,3,4,131,1,0
134,C00135,47,Male,Desktop,Direct,4,3,2,9,253,1,0
135,C00136,54,Male,Desktop,Email,13,5,2,7,53,1,1
136,C00137,40,Male,Tablet,Search Engine,12,6,2,6,99,0,1
137,C00138,56,Female,Desktop,Search Engine,1,9,4,3,102,0,1
138,C00139,32,Male,Mobile,Social Media,1,9,4,9,48,0,1
139,C00140,46,Male,Desktop,Social Media,10,3,1,4,150,1,0
140,C00141,53,Female,Desktop,Direct,2,8,5,6,30,1,1
141,C00142,30,Female,Tablet,Social Media,2,4,5,5,81,0,1
142,C00143,49,Male,Desktop,Social Media,1,7,0,2,52,0,0
143,C00144,24,Female,Tablet,Social Media,8,6,4,9,155,0,1
144,C00145,39,Male,Desktop,Social Media,6,8,1,2,107,0,0
145,C00146,45,Female,Mobile,Email,6,6,1,1,36,1,1
146,C00147,19,Male,Mobile,Email,10,4,3,2,110,1,0
147,C00148,59,Male,Tablet,Social Media,10,2,4,9,272,0,1
148,C00149,23,Male,Tablet,Direct,9,7,1,0,92,0,0
149,C00150,45,Male,Desktop,Email,5,4,3,8,225,0,0
150,C00151,45,Male,Desktop,Social Media,4,9,0,1,280,1,0
151,C00152,37,Female,Mobile,Email,11,9,3,2,197,0,1
152,C00153,47,Male,Desktop,Search Engine,6,7,0,4,239,1,0
153,C00154,28,Male,Mobile,Email,8,5,5,9,192,1,1
154,C00155,45,Male,Tablet,Email,14,3,5,3,184,0,1
155,C00156,42,Male,Desktop,Direct,1,3,2,4,239,0,0
156,C00157,56,Male,Tablet,Email,7,9,2,5,180,0,1
157,C00158,50,Female,Desktop,Direct,8,9,3,4,267,1,1
158,C00159,18,Female,Mobile,Search Engine,9,4,2,9,90,0,1
159,C00160,44,Male,Tablet,Social Media,11,1,4,0,111,0,0
160,C00161,30,Female,Tablet,Direct,8,5,3,5,264,1,1
161,C00162,58,Male,Desktop,Email,7,8,1,8,43,1,1
162,C00163,20,Female,Tablet,Email,3,4,4,2,64,1,0
163,C00164,56,Female,Mobile,Direct,2,4,3,1,208,0,0
164,C00165,23,Male,Tablet,Search Engine,3,9,5,5,102,1,1
165,C00166,25,Female,Tablet,Social Media,4,9,0,2,241,1,0
166,C00167,44,Female,Desktop,Email,4,7,2,3,238,1,1
167,C00168,26,Male,Tablet,Search Engine,6,8,2,5,237,1,1
168,C00169,54,Male,Desktop,Social Media,12,4,2,5,209,1,1
169,C00170,50,Female,Desktop,Social Media,7,8,3,1,86,0,0
170,C00171,59,Female,Tablet,Email,12,6,4,2,50,1,1
171,C00172,41,Female,Mobile,Direct,4,3,0,8,269,1,0
172,C00173,32,Male,Desktop,Email,10,7,2,1,73,1,1
173,C00174,49,Female,Tablet,Email,6,3,4,2,29,0,0
174,C00175,49,Female,Desktop,Email,9,7,1,8,185,0,1
175,C00176,41,Female,Mobile,Search Engine,14,5,5,3,172,1,1
176,C00177,58,Male,Mobile,Direct,6,4,1,0,51,1,0
177,C00178,29,Male,Desktop,Search Engine,14,3,0,1,36,1,0
178,C00179,56,Male,Mobile,Email,3,8,2,2,165,1,0
179,C00180,19,Male,Tablet,Direct,1,4,1,8,94,0,0
180,C00181,20,Female,Tablet,Social Media,11,8,5,8,143,0,1
181,C00182,54,Male,Desktop,Direct,10,3,4,5,71,0,0
182,C00183,34,Female,Mobile,Email,10,9,4,5,209,1,1
183,C00184,19,Female,Tablet,Direct,13,6,1,2,160,1,1
184,C00185,19,Female,Tablet,Social Media,5,5,2,4,107,0,0
185,C00186,45,Female,Tablet,Social Media,10,5,5,3,103,0,1
186,C00187,40,Male,Desktop,Direct,10,3,0,9,262,1,1
187,C00188,54,Male,Desktop,Social Media,3,2,2,9,125,0,1
188,C00189,49,Male,Tablet,Search Engine,8,6,3,8,111,0,1
189,C00190,50,Male,Tablet,Direct,10,1,1,8,40,0,0
190,C00191,18,Male,Mobile,Social Media,1,7,3,0,25,0,0
191,C00192,36,Female,Mobile,Social Media,11,5,1,7,240,0,1
192,C00193,19,Male,Mobile,Direct,2,4,0,8,106,1,0
193,C00194,43,Male,Desktop,Search Engine,3,9,2,4,199,1,1
194,C00195,49,Male,Tablet,Direct,3,1,5,3,265,1,0
195,C00196,23,Male,Desktop,Social Media,12,4,2,9,193,1,1
196,C00197,49,Female,Tablet,Direct,8,3,1,3,132,0,0
197,C00198,21,Female,Mobile,Social Media,5,6,4,1,90,1,1
198,C00199,28,Female,Mobile,Email,8,5,3,8,177,0,1
199,C00200,34,Female,Mobile,Direct,11,7,5,4,256,0,1
200,C00201,55,Female,Mobile,Direct,14,1,5,2,206,1,1
201,C00202,41,Male,Tablet,Social Media,11,5,2,5,262,1,1
202,C00203,22,Female,Mobile,Social Media,6,2,2,8,185,1,1
203,C00204,51,Female,Tablet,Social Media,12,2,1,8,53,1,1
204,C00205,23,Female,Tablet,Social Media,2,2,4,4,274,0,0
205,C00206,39,Male,Desktop,Direct,11,9,3,7,239,0,1
206,C00207,28,Male,Mobile,Social Media,4,3,4,3,51,0,0
207,C00208,33,Female,Mobile,Direct,9,4,5,4,276,1,1
208,C00209,50,Male,Desktop,Search Engine,4,5,4,6,252,1,1
209,C00210,26,Male,Tablet,Direct,5,4,1,6,234,0,0
210,C00211,23,Female,Mobile,Social Media,5,4,4,6,261,0,0
211,C00212,33,Male,Tablet,Social Media,10,5,3,7,264,1,1
212,C00213,46,Male,Desktop,Search Engine,8,9,5,4,39,1,1
213,C00214,20,Male,Tablet,Direct,6,9,0,0,229,0,0
214,C00215,37,Female,Mobile,Search Engine,10,6,5,8,229,0,1
215,C00216,53,Female,Tablet,Direct,7,3,0,8,91,0,0
216,C00217,36,Female,Tablet,Social Media,6,6,3,6,181,1,1
217,C00218,43,Male,Mobile,Direct,14,4,5,5,197,0,1
218,C00219,20,Female,Mobile,Social Media,14,3,5,4,30,0,0
219,C00220,36,Male,Tablet,Social Media,14,6,5,4,285,1,1
220,C00221,37,Male,Tablet,Email,5,6,5,2,27,0,0
221,C00222,49,Male,Desktop,Email,5,2,1,9,294,0,0
222,C00223,24,Female,Mobile,Direct,3,9,2,0,212,0,0
223,C00224,58,Female,Tablet,Social Media,7,8,5,5,278,1,1
224,C00225,50,Female,Mobile,Search Engine,13,6,1,7,72,1,1
225,C00226,57,Female,Desktop,Social Media,10,1,3,1,115,0,0
226,C00227,56,Male,Tablet,Search Engine,5,2,5,7,111,1,1
227,C00228,35,Female,Tablet,Direct,7,4,4,7,163,0,0
228,C00229,57,Male,Tablet,Direct,2,7,5,9,37,0,1
229,C00230,18,Female,Mobile,Search Engine,9,9,5,7,145,1,1
230,C00231,28,Female,Desktop,Search Engine,8,5,0,9,173,0,1
231,C00232,45,Female,Mobile,Social Media,5,2,4,2,25,1,0
232,C00233,42,Male,Tablet,Direct,2,1,5,9,107,1,0
233,C00234,40,Male,Desktop,Social Media,6,1,5,7,288,0,1
234,C00235,48,Male,Tablet,Search Engine,8,5,5,3,84,0,0
235,C00236,47,Male,Tablet,Email,7,7,1,2,185,1,0
236,C00237,59,Male,Mobile,Email,8,9,3,8,83,1,1
237,C00238,52,Female,Tablet,Email,4,9,0,7,289,0,0
238,C00239,24,Male,Desktop,Search Engine,14,8,5,9,164,1,1
239,C00240,33,Male,Tablet,Social Media,3,1,3,1,288,0,0
240,C00241,43,Male,Tablet,Direct,7,5,0,7,25,0,0
241,C00242,19,Male,Mobile,Search Engine,2,6,0,2,140,1,0
242,C00243,18,Female,Desktop,Email,14,6,0,9,151,0,1
243,C00244,29,Male,Mobile,Social Media,5,4,5,5,208,1,1
244,C00245,22,Female,Tablet,Direct,13,1,1,4,228,0,0
245,C00246,54,Female,Mobile,Direct,7,3,5,7,61,0,1
246,C00247,49,Female,Mobile,Search Engine,1,4,5,8,97,0,1
247,C00248,26,Male,Mobile,Search Engine,4,4,3,6,164,0,1
248,C00249,58,Female,Mobile,Direct,2,4,2,5,190,0,0
249,C00250,52,Male,Tablet,Direct,6,5,2,5,112,0,1
250,C00251,36,Male,Tablet,Email,12,9,2,0,282,1,0
251,C00252,33,Male,Desktop,Direct,1,4,3,4,42,1,0
252,C00253,20,Male,Mobile,Search Engine,7,9,4,7,161,0,1
253,C00254,37,Male,Mobile,Social Media,3,9,3,5,167,1,1
254,C00255,41,Female,Desktop,Email,12,1,0,0,135,1,0
255,C00256,50,Female,Mobile,Email,1,5,5,4,100,1,1
256,C00257,41,Male,Desktop,Direct,8,9,4,4,44,1,1
257,C00258,28,Female,Tablet,Social Media,7,4,0,2,134,1,0
258,C00259,25,Male,Desktop,Email,2,5,5,7,113,0,1
259,C00260,53,Female,Mobile,Search Engine,7,4,5,8,204,0,1
260,C00261,55,Female,Desktop,Direct,3,2,0,5,174,0,0
261,C00262,57,Female,Tablet,Search Engine,13,2,3,5,193,0,1
262,C00263,37,Female,Mobile,Direct,9,2,2,1,192,0,0
263,C00264,52,Female,Tablet,Email,8,1,4,9,173,1,1
264,C00265,42,Male,Tablet,Direct,5,3,5,1,33,1,0
265,C00266,52,Male,Desktop,Social Media,7,1,1,5,147,0,0
266,C00267,42,Female,Tablet,Search Engine,3,4,5,7,111,0,1
267,C00268,46,Male,Mobile,Social Media,1,1,2,1,290,1,0
268,C00269,35,Female,Tablet,Search Engine,1,4,5,8,241,0,1
269,C00270,35,Male,Tablet,Search Engine,11,3,1,8,127,0,0
270,C00271,19,Female,Desktop,Direct,2,9,3,3,47,1,1
271,C00272,52,Female,Tablet,Email,8,1,5,3,216,0,0
272,C00273,33,Female,Desktop,Email,1,8,4,3,219,0,0
273,C00274,58,Male,Desktop,Social Media,11,9,3,4,173,0,1
274,C00275,53,Male,Mobile,Direct,12,7,1,7,89,0,1
275,C00276,50,Female,Mobile,Email,5,1,0,1,179,0,0
276,C00277,21,Female,Mobile,Search Engine,9,4,5,4,122,1,1
277,C00278,50,Male,Mobile,Search Engine,12,1,3,1,255,0,1
278,C00279,31,Male,Desktop,Direct,9,4,5,7,208,0,1
279,C00280,38,Male,Tablet,Social Media,2,3,4,0,128,1,0
280,C00281,37,Male,Mobile,Direct,7,2,5,6,274,0,1
281,C00282,25,Male,Mobile,Social Media,11,1,3,2,212,0,0
282,C00283,24,Female,Mobile,Direct,1,6,2,3,90,1,0
283,C00284,20,Male,Tablet,Search Engine,3,7,3,7,288,1,1
284,C00285,34,Female,Mobile,Direct,6,6,1,2,228,1,0
285,C00286,50,Female,Tablet,Email,9,9,3,6,195,1,1
286,C00287,29,Male,Desktop,Email,10,9,4,0,258,1,1
287,C00288,39,Male,Desktop,Direct,2,2,3,8,117,0,0
288,C00289,39,Female,Desktop,Social Media,7,2,3,5,108,1,0
289,C00290,47,Male,Tablet,Social Media,4,9,4,2,271,1,0
290,C00291,55,Female,Mobile,Search Engine,2,1,3,6,118,1,1
291,C00292,55,Male,Mobile,Search Engine,3,5,4,4,173,1,0
292,C00293,25,Male,Mobile,Social Media,6,1,1,7,50,0,0
293,C00294,44,Male,Mobile,Direct,10,7,4,7,150,1,1
294,C00295,44,Female,Mobile,Search Engine,9,9,1,8,235,0,1
295,C00296,51,Male,Tablet,Social Media,8,6,1,5,34,0,0
296,C00297,38,Female,Desktop,Social Media,10,2,4,3,286,1,1
297,C00298,47,Male,Mobile,Direct,14,6,3,1,62,0,0
298,C00299,50,Female,Desktop,Email,11,9,5,2,187,0,1
299,C00300,45,Male,Tablet,Social Media,9,3,2,4,274,0,0
300,C00301,50,Female,Tablet,Search Engine,4,9,5,7,189,1,1
301,C00302,22,Female,Mobile,Direct,12,8,4,9,278,1,1
302,C00303,36,Female,Tablet,Direct,4,7,3,1,97,0,0
303,C00304,21,Female,Desktop,Direct,9,8,1,4,104,1,1
304,C00305,52,Female,Mobile,Email,8,6,0,8,168,1,0
305,C00306,34,Female,Mobile,Email,12,3,2,1,220,1,0
306,C00307,45,Male,Desktop,Search Engine,2,7,5,7,96,0,1
307,C00308,47,Female,Mobile,Search Engine,8,4,3,2,269,1,1
308,C00309,46,Female,Mobile,Direct,1,5,2,7,72,1,1
309,C00310,23,Female,Desktop,Search Engine,9,8,0,3,128,0,0
310,C00311,52,Male,Mobile,Social Media,9,7,0,3,107,1,0
311,C00312,58,Male,Mobile,Email,13,7,0,6,185,0,0
312,C00313,54,Male,Desktop,Direct,8,8,5,4,286,1,1
313,C00314,41,Female,Tablet,Direct,11,3,4,3,112,1,0
314,C00315,46,Male,Desktop,Social Media,5,3,2,6,192,1,0
315,C00316,48,Male,Mobile,Social Media,5,2,4,2,83,1,1
316,C00317,52,Female,Desktop,Social Media,13,1,0,8,145,0,0
317,C00318,50,Female,Mobile,Social Media,3,6,3,4,249,1,0
318,C00319,38,Male,Mobile,Direct,5,6,0,2,124,0,0
319,C00320,49,Female,Desktop,Email,4,8,4,1,228,0,0
320,C00321,40,Female,Mobile,Email,1,6,0,6,81,1,0
321,C00322,50,Female,Tablet,Social Media,9,6,0,6,259,1,0
322,C00323,20,Female,Mobile,Search Engine,10,1,4,4,80,1,1
323,C00324,35,Male,Desktop,Direct,14,7,4,3,31,1,1
324,C00325,42,Female,Tablet,Email,4,7,3,1,156,1,0
325,C00326,59,Male,Tablet,Social Media,3,9,4,1,214,1,0
326,C00327,48,Male,Mobile,Search Engine,6,7,3,6,93,1,1
327,C00328,20,Male,Desktop,Search Engine,1,8,1,9,155,1,1
328,C00329,57,Male,Mobile,Social Media,5,4,1,6,62,1,0
329,C00330,41,Female,Mobile,Direct,7,9,4,3,58,0,1
330,C00331,49,Female,Desktop,Email,2,1,0,3,50,1,0
331,C00332,39,Female,Desktop,Search Engine,10,8,2,3,161,1,0
332,C00333,40,Male,Mobile,Email,9,3,0,1,63,0,0
333,C00334,19,Male,Tablet,Email,12,1,4,8,207,1,1
334,C00335,44,Male,Mobile,Search Engine,6,2,3,0,21,1,0
335,C00336,59,Female,Tablet,Social Media,2,6,0,7,43,0,0
336,C00337,19,Male,Mobile,Search Engine,8,5,1,5,123,1,1
337,C00338,43,Female,Desktop,Search Engine,8,3,5,9,81,0,1
338,C00339,34,Female,Tablet,Direct,1,9,4,6,172,1,1
339,C00340,57,Female,Desktop,Email,12,8,0,4,282,1,0
340,C00341,50,Female,Desktop,Social Media,1,3,5,5,262,1,1
341,C00342,26,Male,Desktop,Email,1,2,0,5,140,0,0
342,C00343,56,Female,Desktop,Search Engine,12,8,3,8,192,0,1
343,C00344,46,Male,Desktop,Social Media,4,5,3,9,122,0,1
344,C00345,59,Female,Mobile,Social Media,4,9,3,3,179,0,0
345,C00346,43,Male,Tablet,Social Media,8,1,5,4,276,1,1
346,C00347,52,Male,Mobile,Social Media,1,3,2,3,221,0,0
347,C00348,42,Female,Mobile,Direct,10,5,5,0,64,1,0
348,C00349,41,Female,Mobile,Social Media,3,2,4,9,83,1,1
349,C00350,30,Female,Desktop,Search Engine,11,3,4,5,215,1,1
350,C00351,24,Male,Mobile,Direct,1,4,1,4,89,1,0
351,C00352,53,Female,Tablet,Search Engine,9,4,1,3,200,1,0
352,C00353,37,Female,Mobile,Search Engine,10,9,4,5,266,0,1
353,C00354,18,Male,Desktop,Email,12,1,0,4,177,1,1
354,C00355,25,Female,Tablet,Social Media,9,9,4,2,205,1,1
355,C00356,33,Male,Tablet,Social Media,7,9,2,1,250,0,0
356,C00357,31,Female,Tablet,Search Engine,13,6,1,5,92,1,0
357,C00358,29,Male,Tablet,Social Media,12,1,1,3,74,0,0
358,C00359,40,Male,Mobile,Direct,8,6,5,9,262,1,1
359,C00360,32,Female,Desktop,Email,1,8,1,2,234,0,0
360,C00361,45,Male,Tablet,Social Media,5,5,4,7,34,1,0
361,C00362,51,Female,Tablet,Social Media,14,5,1,8,166,1,1
362,C00363,19,Female,Desktop,Direct,2,1,1,6,163,0,0
363,C00364,49,Male,Mobile,Email,13,1,5,1,44,1,0
364,C00365,40,Female,Tablet,Direct,1,8,4,7,118,1,1
365,C00366,39,Male,Mobile,Search Engine,3,5,0,4,198,0,0
366,C00367,42,Male,Mobile,Search Engine,7,8,1,9,193,0,1
367,C00368,39,Male,Mobile,Social Media,1,2,1,6,282,1,0
368,C00369,39,Male,Mobile,Email,11,4,1,4,77,0,0
369,C00370,59,Male,Tablet,Search Engine,2,9,2,1,298,1,0
370,C00371,23,Male,Tablet,Direct,2,3,4,3,164,0,0
371,C00372,32,Male,Mobile,Search Engine,4,6,1,4,141,0,0
372,C00373,54,Male,Mobile,Search Engine,12,7,2,5,46,0,1
373,C00374,50,Female,Desktop,Direct,3,3,0,4,85,1,0
374,C00375,25,Female,Desktop,Social Media,3,1,0,9,120,1,0
375,C00376,22,Male,Desktop,Email,10,2,5,0,113,1,0
376,C00377,56,Female,Tablet,Social Media,5,7,5,0,86,0,1
377,C00378,21,Female,Desktop,Direct,3,7,5,2,269,1,1
378,C00379,23,Female,Tablet,Search Engine,11,1,2,8,161,1,1
379,C00380,49,Female,Tablet,Email,7,7,0,1,286,0,0
380,C00381,47,Female,Tablet,Social Media,5,6,5,9,59,0,1
381,C00382,52,Female,Tablet,Direct,4,6,3,4,234,1,1
382,C00383,57,Male,Desktop,Search Engine,12,7,5,8,150,1,1
383,C00384,33,Female,Mobile,Search Engine,3,7,0,6,20,1,0
384,C00385,30,Female,Mobile,Social Media,12,1,3,7,28,1,1
385,C00386,59,Female,Mobile,Direct,4,5,2,1,163,1,0
386,C00387,47,Female,Desktop,Search Engine,14,8,3,4,157,0,1
387,C00388,36,Male,Mobile,Search Engine,12,8,0,8,198,1,1
388,C00389,34,Male,Desktop,Email,2,3,1,0,297,1,0
389,C00390,36,Male,Desktop,Search Engine,1,3,3,0,163,1,0
390,C00391,45,Male,Desktop,Social Media,3,7,0,9,209,0,1
391,C00392,43,Female,Mobile,Direct,11,4,5,7,289,0,1
392,C00393,54,Male,Mobile,Direct,2,6,1,1,206,1,0
393,C00394,43,Male,Mobile,Email,1,9,2,8,173,1,1
394,C00395,40,Male,Tablet,Direct,1,2,2,9,191,1,1
395,C00396,26,Male,Desktop,Social Media,2,2,4,8,266,1,1
396,C00397,29,Female,Tablet,Search Engine,13,6,2,3,30,0,1
397,C00398,18,Male,Desktop,Email,13,3,4,1,66,1,1
398,C00399,18,Female,Mobile,Direct,9,1,2,2,285,1,0
399,C00400,51,Male,Desktop,Email,13,2,2,9,130,1,1
