feedback,sentiment,categories
Unfortunately pages take more than ten seconds to render after I click a link.,negative,performance
"It would be nice if support hours extended into the evening On top of that, i would prefer a simpler layout with fewer colors Hope this gets fixed soon.",neutral,"support,ui"
One problem I keep seeing is that i wonder if there is a lighter version of the app for older phones,neutral,performance
"The latest update seems to have fixed the previous stability issues At the same time, the help desk agent went the extra mile to fix the problem for me. Besides that, i like the new visual style; everything feels modern and polished.",positive,"bug,support,ui"
It would be nice if support hours extended into the evening,neutral,support
A longer session timeout would reduce the need to re-authenticate Happened more than once already.,neutral,login
"Thankfully wishlist functionality is missing and I keep losing track of items Besides that, everything feels laggy and unresponsive during peak hours.",negative,"feature_request,performance"
"Thankfully search returns no results even for products I know exist Additionally, images load so slowly that the page feels incomplete for a long time.",negative,"bug,performance"
"I love the new one-click reorder feature; it saves me so much time Besides that, logging in is fast and the remember-me feature works perfectly Keep up the good work.",positive,"feature_request,login"
One problem I keep seeing is that i would prefer a simpler layout with fewer colors.,neutral,ui
"Checkout becomes unresponsive right after I enter my card details Furthermore, the agent I spoke with was unhelpful and seemed unfamiliar with the issue.",negative,"payment,support"
"Occasionally a button remains highlighted after I release it And is there a way to save multiple payment methods for faster checkout? On top of that, is there a dedicated phone line for premium members?.",neutral,"bug,payment,support"
"I never receive the verification code needed to complete sign-in Additionally, the whole experience is sluggish compared to similar services. Also, the dark mode has white text on light backgrounds in several places.",negative,"login,performance,ui"
"the app crashes every time I try to open the order history Besides that, password reset emails never arrive in my inbox.",negative,"bug,login"
"Honestly, the filter options stop working after the first selection Furthermore, the application becomes extremely slow when I have many items in the cart",negative,"bug,performance"
"There might be a minor display glitch on certain Android versions On top of that, performance seems acceptable on Wi-Fi but slower on mobile data. And have you considered adding a compact view for power users?.",neutral,"bug,performance,ui"
The app is extremely sluggish and crashes while I am checking out.,negative,"bug,performance"
"In my experience having social login options would be convenient Plus, some icons could use clearer labels.",neutral,"login,ui"
"Overall i noticed there are limited payment options for international cards Furthermore, i would prefer a simpler layout with fewer colors.",neutral,"payment,ui"
"A white screen appears and nothing loads after the splash screen Additionally, login works on desktop but fails consistently on the mobile app. At the same time, after selecting UPI the screen just hangs and nothing happens.",negative,"bug,login,payment"
One problem I keep seeing is that support for guest checkout without creating an account would be convenient.,neutral,feature_request
I've noticed that sign-in with my email takes only a second.,positive,login
"Just wanted to mention that missing the ability to save multiple shipping addresses is inconvenient At the same time, credit card payment keeps failing with a generic error.",negative,"feature_request,payment"
"The payment screen is slow, becomes unresponsive, and the layout is messy on mobile.",negative,"bug,payment,ui"
"For what it's worth, the new biometric login option is really convenient.",positive,login
"Just a heads-up: the login form could remember my username for next time On top of that, the list of supported cards could be shown more prominently. On top of that, is there a dedicated phone line for premium members? Hope this gets fixed soon.",neutral,"login,payment,support"
"Quick note: the knowledge base articles are useful but could cover more edge cases Besides that, a denser information layout might help experienced users.",neutral,"support,ui"
"I've noticed that form fields clear themselves while I am still typing Besides that, biometric login stopped working after the latest update. Plus, i waited over an hour for a response from the help desk and still got no solution.",negative,"bug,login,support"
"I would like to see integration with more third-party wallets On top of that, is there a dedicated phone line for premium members?.",neutral,"feature_request,support"
I received a clear and helpful response to my query the same day Hope this gets fixed soon.,positive,support
"For what it's worth, images fail to load and are replaced by broken-image icons.",negative,bug
There might be a minor display glitch on certain Android versions Thanks!,neutral,bug
"Lately having a bulk-add-to-cart option would speed things up for me On top of that, performance seems acceptable on Wi-Fi but slower on mobile data Looking forward to an update.",neutral,"feature_request,performance"
"There might be a minor display glitch on certain Android versions Plus, speed is fine most of the time but dips during sales events.",neutral,"bug,performance"
"A longer session timeout would reduce the need to re-authenticate Also, is there a dedicated phone line for premium members?.",neutral,"login,support"
"Overall the cart empties itself for no apparent reason Plus, after selecting UPI the screen just hangs and nothing happens. Also, the app becomes almost unusable when the network is only moderately fast Happened more than once already.",negative,"bug,payment,performance"
"Just wanted to mention that i love the new one-click reorder feature; it saves me so much time Furthermore, the support team followed up to make sure everything was working again Hope this gets fixed soon.",positive,"feature_request,support"
"Adding a price-drop alert feature would help me a lot Plus, it would be nice if support hours extended into the evening.",neutral,"feature_request,support"
Overall please add the ability to share product links directly to messaging apps.,neutral,feature_request
"Is there a way to save multiple payment methods for faster checkout? Also, performance seems acceptable on Wi-Fi but slower on mobile data Looking forward to an update.",neutral,"payment,performance"
"Everything has been running stably for the past few weeks Furthermore, customer support resolved my issue within minutes and were very polite Keep up the good work.",positive,"bug,support"
"Refund for the cancelled order has not been processed after a week Furthermore, the application becomes extremely sluggish when I have many items in the cart Please look into it.",negative,"payment,performance"
The support team followed up to make sure everything was working again Keep up the good work.,positive,support
A small visual artifact appears when rotating the device Thanks!,neutral,bug
I encounter a random error code that forces me to restart the app Would appreciate a fix.,negative,bug
"Getting a human agent feels nearly impossible through the chat Besides that, the product cards look cramped and hard to scan quickly.",negative,"support,ui"
I've noticed that the money left my account but the order never appeared in my history.,negative,payment
"Search results take ages to appear and sometimes never load Furthermore, email replies take more than 48 hours and often miss the point.",negative,"performance,support"
The payment page could list accepted cards more clearly Looking forward to an update.,neutral,payment
"The payment options are convenient and processed instantly Additionally, i like the new visual style; everything feels modern and polished Thanks!",positive,"payment,ui"
I've noticed that missing the ability to save multiple shipping addresses is inconvenient And getting a human agent feels nearly impossible through the chat.,negative,"feature_request,support"
"The latest update seems to have fixed the previous stability issues Plus, the support team followed up to make sure everything was working again. Also, the redesigned dashboard looks clean and is easy to navigate Otherwise the experience is good.",positive,"bug,support,ui"
I've noticed that i really need a dark mode option that actually works system-wide Thanks!,negative,feature_request
"For what it's worth, phone support put me on hold for twenty minutes and then the call dropped And the dark mode has white text on light backgrounds in several places.",negative,"support,ui"
"The transaction failed twice when I tried to complete checkout Plus, everything feels laggy and unresponsive during peak hours. At the same time, icons are not intuitive and I have to guess what each one does Keep up the good work.",negative,"payment,performance,ui"
Thankfully everything feels responsive even when I browse many products.,positive,performance
"Just wanted to mention that clicking the save button does nothing and changes are lost At the same time, i was told the issue was escalated but never heard back.",negative,"bug,support"
"The recently added recommendation engine is surprisingly accurate Also, the payment options are convenient and processed instantly Happened more than once already.",positive,"feature_request,payment"
"Password recovery was straightforward and I was back in minutes Furthermore, refund was issued quickly after I cancelled the order. Additionally, everything feels responsive even when I browse many products.",positive,"login,payment,performance"
Just a heads-up: i noticed there are limited payment options for international cards Please look into it.,neutral,payment
"Just a heads-up: the absence of a price-drop alert is disappointing Plus, the money left my account but the order never appeared in my history.",negative,"feature_request,payment"
Unfortunately card payment worked on the first try and confirmation arrived immediately.,positive,payment
"A comparison tool for similar products would be a welcome addition Furthermore, have you considered adding a compact view for power users?.",neutral,"feature_request,ui"
"I keep getting account not found despite having registered last week Also, switching between tabs causes noticeable delays. And the support chat bot only gives canned replies that do not address my problem.",negative,"login,performance,support"
The application crashes every time I try to open the order history Would appreciate a fix.,negative,bug
Quick note: the back button sometimes closes the entire application instead of going back.,negative,bug
Thankfully clicking the save button does nothing and changes are lost Otherwise the experience is good.,negative,bug
Lately the application crashes every time I try to open the order history Keep up the good work.,negative,bug
A comparison tool for similar products would be a welcome addition And some banks seem to be unsupported at the moment. And i wonder if there is a lighter version of the app for older phones.,neutral,"feature_request,payment,performance"
Overall menus hide behind gestures that are hard to discover Thanks!,negative,ui
I've noticed that the login page keeps saying invalid credentials even with the correct password Would appreciate a fix.,negative,login
Lately everything has been running stably for the past few weeks.,positive,bug
"Honestly, no option exists to schedule deliveries for a later date This is frustrating.",negative,feature_request
"I've noticed that the login page keeps saying invalid credentials even with the correct password Besides that, trying to pay with my saved card always results in an authorization error Otherwise the experience is good.",negative,"login,payment"
"Quick note: the back button sometimes closes the entire application instead of going back On top of that, buttons are too small on mobile and I keep tapping the wrong ones.",negative,"bug,ui"
Thankfully getting a human agent feels nearly impossible through the chat.,negative,support
"There is still no way to export my order history as a PDF Also, the agent I spoke with was unhelpful and seemed unfamiliar with the issue Would appreciate a fix.",negative,"feature_request,support"
"For what it's worth, no unexpected errors so far this month Keep up the good work.",positive,bug
"A white screen appears and nothing loads after the splash screen On top of that, i am forced to reset my password every few days for no reason. On top of that, i submitted a ticket three days ago and have not received any update.",negative,"bug,login,support"
"Logging in is fast and the remember-me feature works perfectly Also, the support team followed up to make sure everything was working again.",positive,"login,support"
"Paying was straightforward and I received the receipt right away Additionally, the interface is intuitive and I found what I needed right away Looking forward to an update.",positive,"payment,ui"
"I've noticed that after selecting UPI the screen just hangs and nothing happens Also, scrolling through the product list is choppy and freezes frequently. At the same time, icons are not intuitive and I have to guess what each one does.",negative,"payment,performance,ui"
"Lately the cart empties itself for no apparent reason Plus, I'm unable to complete the purchase because the payment button stays disabled Otherwise the experience is good.",negative,"bug,payment"
I paid successfully but the order status remains unpaid Please look into it.,negative,payment
"Account access has been reliable every time I need it Also, the whole checkout flow felt secure and fast. Furthermore, even with a large catalog the search is impressively fast This is frustrating.",positive,"login,payment,performance"
No unexpected errors so far this month Hope this gets fixed soon.,positive,bug
Thankfully the sign-in button does nothing when I click it And images load so slowly that the page feels incomplete for a long time.,negative,"login,performance"
Navigation is smooth and pages respond almost instantly Thanks!,positive,performance
the app crashes every time I try to open the order history.,negative,bug
"Please consider adding support for more regional languages Plus, i noticed there are limited payment options for international cards. At the same time, response time is acceptable on weekdays but slower on weekends.",neutral,"feature_request,payment,support"
Overall no option exists to schedule deliveries for a later date.,negative,feature_request
"Thankfully the app freezes completely when I switch between tabs quickly At the same time, the agent I spoke with was unhelpful and seemed unfamiliar with the issue Happened more than once already.",negative,"bug,support"
"I am forced to reset my password every few days for no reason At the same time, i cannot complete the purchase because the payment button stays disabled. Furthermore, the support chat bot only gives canned replies that do not address my problem.",negative,"login,payment,support"
Quick note: the redesigned dashboard looks clean and is easy to navigate.,positive,ui
"Thankfully form fields clear themselves while I am still typing Additionally, images load so slowly that the page feels incomplete for a long time Keep up the good work.",negative,"bug,performance"
"Form fields clear themselves while I am still typing Also, wishlist functionality is missing and I keep losing track of items.",negative,"bug,feature_request"
"Wishlist functionality is missing and I keep losing track of items Also, refund for the cancelled order has not been processed after a week. Besides that, buttons are too small on mobile and I keep tapping the wrong ones.",negative,"feature_request,payment,ui"
The filter options stop working after the first selection Looking forward to an update.,negative,bug
"Just a heads-up: the new dashboard looks confusing, and I would like an option to customize the layout.",neutral,"feature_request,ui"
"Everything feels laggy and unresponsive during peak hours Also, the color contrast makes some text almost unreadable Please look into it.",negative,"performance,ui"
"Overall occasionally a button remains highlighted after I release it Additionally, please add the ability to share product links directly to messaging apps Please look into it.",neutral,"bug,feature_request"
"I never receive the verification code needed to complete sign-in Additionally, checkout becomes unresponsive right after I enter my card details. Furthermore, icons are not intuitive and I have to guess what each one does.",negative,"login,payment,ui"
One problem I keep seeing is that navigation is smooth and pages respond almost instantly,positive,performance
"Load times are average compared to other shopping apps I use At the same time, have you considered adding a compact view for power users? Would appreciate a fix.",neutral,"performance,ui"
"Honestly, is it possible to link multiple email addresses to one account?",neutral,login
"To be honest, i contacted support because I cannot access my account after the password change.",negative,"login,support"
Just a heads-up: switching between tabs causes noticeable delays.,negative,performance
"Checkout becomes unresponsive right after I enter my card details On top of that, the whole experience is sluggish compared to similar services. Furthermore, the new interface is confusing and I cannot find the settings menu.",negative,"payment,performance,ui"
"Speed is fine most of the time but dips during sales events And response time is acceptable on weekdays but slower on weekends. On top of that, the font size could be adjustable for better readability.",neutral,"performance,support,ui"
Overall i wonder if there is a lighter version of the app for older phones.,neutral,performance
"The agent understood the problem right away and fixed it Plus, the recent UI refresh made browsing much more pleasant This is frustrating.",positive,"support,ui"
"For what it's worth, payment confirmation never arrived and they say they have no record.",negative,payment
"Honestly, the back button sometimes closes the entire application instead of going back And the checkout process aborted halfway and I am not sure if I was charged. Also, font sizes are inconsistent across different screens",negative,"bug,payment,ui"
"Honestly, account access has been reliable every time I need it.",positive,login
"It would be great if users could customize the home screen widgets Plus, the login form could remember my username for next time. Additionally, the payment page could list accepted cards more clearly.",neutral,"feature_request,login,payment"
"One problem I keep seeing is that the new biometric login option is really convenient Furthermore, even with a large catalog the search is impressively fast.",positive,"login,performance"
"Wishlist functionality is missing and I keep losing track of items Additionally, selecting any card payment method redirects me to a blank page.",negative,"feature_request,payment"
"For what it's worth, it would be helpful if Apple Pay and Google Pay were supported at checkout.",neutral,"feature_request,payment"
Overall i would prefer a simpler layout with fewer colors.,neutral,ui
"One problem I keep seeing is that i really need a dark mode option that actually works system-wide At the same time, the app becomes almost unusable when the network is only moderately fast. Plus, menus hide behind gestures that are hard to discover Thanks!",negative,"feature_request,performance,ui"
"Thankfully the sign-in button does nothing when I click it At the same time, i was charged twice for the same order and cannot get a refund. Besides that, the product cards look cramped and hard to scan quickly.",negative,"login,payment,ui"
"the app crashes every time I try to open the order history Furthermore, credit card payment keeps failing with a generic error.",negative,"bug,payment"
I love the new one-click reorder feature; it saves me so much time Please look into it.,positive,feature_request
"I never receive the verification code needed to complete sign-in Also, the layout looks broken on tablet screens and elements overlap.",negative,"login,ui"
"The absence of a price-drop alert is disappointing On top of that, password reset emails never arrive in my inbox. Besides that, phone support put me on hold for twenty minutes and then the call dropped Happened more than once already.",negative,"feature_request,login,support"
"The absence of a price-drop alert is disappointing Plus, customer service kept transferring me between departments without resolving anything.",negative,"feature_request,support"
"For what it's worth, please add the ability to share product links directly to messaging apps Happened more than once already.",neutral,feature_request
"The payment page could list accepted cards more clearly Also, some icons could use clearer labels This is frustrating.",neutral,"payment,ui"
One problem I keep seeing is that password recovery was straightforward and I was back in minutes.,positive,login
"Clicking the save button does nothing and changes are lost At the same time, email replies take more than 48 hours and often miss the point. Besides that, the layout looks broken on tablet screens and elements overlap Looking forward to an update.",negative,"bug,support,ui"
Overall password recovery was straightforward and I was back in minutes And the support team followed up to make sure everything was working again.,positive,"login,support"
"Having a callback option would make contacting support easier Besides that, the font size could be adjustable for better readability",neutral,"support,ui"
Performance seems acceptable on Wi-Fi but slower on mobile data Keep up the good work.,neutral,performance
"Performance has improved a lot after the recent update At the same time, the recent UI refresh made browsing much more pleasant.",positive,"performance,ui"
"Just a heads-up: i really need a dark mode option that actually works system-wide Plus, the whole experience is sluggish compared to similar services. Besides that, the support chat bot only gives canned replies that do not address my problem.",negative,"feature_request,performance,support"
"Form fields clear themselves while I am still typing Additionally, oTP verification fails every single time I try to access my account.",negative,"bug,login"
"I have not encountered any crashes or glitches recently On top of that, password recovery was straightforward and I was back in minutes.",positive,"bug,login"
"I love the new one-click reorder feature; it saves me so much time Additionally, the new biometric login option is really convenient.",positive,"feature_request,login"
"Unfortunately form fields clear themselves while I am still typing Furthermore, the money left my account but the order never appeared in my history Otherwise the experience is good.",negative,"bug,payment"
"Lately there is still no way to export my order history as a PDF On top of that, checkout throws an unexpected error after I confirm the amount. Plus, buttons are too small on mobile and I keep tapping the wrong ones.",negative,"feature_request,payment,ui"
In my experience everything has been running stably for the past few weeks Please look into it.,positive,bug
"Honestly, the remember me option does not actually keep me signed in On top of that, font sizes are inconsistent across different screens.",negative,"login,ui"
"The knowledge base articles are useful but could cover more edge cases On top of that, have you considered adding a compact view for power users? Otherwise the experience is good.",neutral,"support,ui"
The payment page freezes whenever I try to finalize the purchase Would appreciate a fix.,negative,payment
"Lately the whole experience is sluggish compared to similar services Also, the agent I spoke with was unhelpful and seemed unfamiliar with the issue. Plus, icons are not intuitive and I have to guess what each one does.",negative,"performance,support,ui"
In my experience i submitted a ticket three days ago and have not received any update Please look into it.,negative,support
I've noticed that the help desk agent went the extra mile to fix the problem for me And layout and spacing feel comfortable on both phone and tablet.,positive,"support,ui"
"To be honest, the application freezes completely when I switch between tabs quickly Furthermore, wishlist functionality is missing and I keep losing track of items. At the same time, menus hide behind gestures that are hard to discover.",negative,"bug,feature_request,ui"
"Checkout and payment went through smoothly without any issues At the same time, the app loads quickly and feels snappy on my device.",positive,"payment,performance"
Overall loading the homepage alone consumes a lot of data and battery.,negative,performance
"In my experience selecting any card payment method redirects me to a blank page Furthermore, menus hide behind gestures that are hard to discover.",negative,"payment,ui"
"The app takes forever to load even on a strong Wi-Fi connection Additionally, the agent I spoke with was unhelpful and seemed unfamiliar with the issue.",negative,"performance,support"
"For what it's worth, i wish there was an option to stay logged in for longer periods.",neutral,login
Images load so slowly that the page feels incomplete for a long time Thanks!,negative,performance
Occasionally a button remains highlighted after I release it And some icons could use clearer labels.,neutral,"bug,ui"
"I keep getting account not found despite having registered last week Plus, i keep getting an error message every time I select a payment method. Plus, i waited over an hour for a response from the help desk and still got no solution.",negative,"login,payment,support"
"In my experience missing the ability to save multiple shipping addresses is inconvenient Besides that, the app takes forever to load even on a strong Wi-Fi connection.",negative,"feature_request,performance"
Overall response time is acceptable on weekdays but slower on weekends.,neutral,support
Just wanted to mention that my card was charged but the order is still showing as pending.,negative,payment
"I encounter a random error code that forces me to restart the app Also, there is still no way to export my order history as a PDF. And i submitted a ticket three days ago and have not received any update.",negative,"bug,feature_request,support"
Unfortunately the agent understood the problem right away and fixed it.,positive,support
"The whole experience is sluggish compared to similar services Also, the agent I spoke with was unhelpful and seemed unfamiliar with the issue Keep up the good work.",negative,"performance,support"
"The new biometric login option is really convenient On top of that, i like the new visual style; everything feels modern and polished.",positive,"login,ui"
Scrolling through the product list is choppy and freezes frequently Otherwise the experience is good.,negative,performance
Quick note: the recent addition of order notes is a nice touch.,positive,feature_request
"Account access has been reliable every time I need it Besides that, checkout and payment went through smoothly without any issues Please look into it.",positive,"login,payment"
Thankfully form fields clear themselves while I am still typing.,negative,bug
The app takes forever to load even on a strong Wi-Fi connection Looking forward to an update.,negative,performance
"Notifications keep appearing even after I have dismissed them Plus, menus hide behind gestures that are hard to discover.",negative,"bug,ui"
"I love the new one-click reorder feature; it saves me so much time Besides that, password recovery was straightforward and I was back in minutes.",positive,"feature_request,login"
Quick note: it would help if order tracking showed more granular status updates.,neutral,feature_request
"I am forced to reset my password every few days for no reason Plus, menus hide behind gestures that are hard to discover.",negative,"login,ui"
Quick note: the font size could be adjustable for better readability This is frustrating.,neutral,ui
"Honestly, the payment screen could list accepted cards more clearly.",neutral,payment
In my experience trying to pay with my saved card always results in an authorization error.,negative,payment
Just wanted to mention that i was charged twice for the same order and cannot get a refund.,negative,payment
I like the new visual style; everything feels modern and polished.,positive,ui
"Unfortunately the back button sometimes closes the entire application instead of going back Furthermore, the amount was taken from my wallet but the cart is still full. Additionally, the application takes forever to load even on a strong Wi-Fi connection.",negative,"bug,payment,performance"
I keep getting account not found despite having registered last week Hope this gets fixed soon.,negative,login
Is there a dedicated phone line for premium members? Thanks!,neutral,support
"The latest update seems to have fixed the previous stability issues Additionally, customer support resolved my issue within minutes and were very polite. Furthermore, i like the new visual style; everything feels modern and polished Otherwise the experience is good.",positive,"bug,support,ui"
"Form fields clear themselves while I am still typing Plus, i submitted a ticket three days ago and have not received any update Happened more than once already.",negative,"bug,support"
"Notifications keep appearing even after I have dismissed them Additionally, selecting any card payment method redirects me to a blank page. At the same time, switching between tabs causes noticeable delays.",negative,"bug,payment,performance"
"Is there a way to save multiple payment methods for faster checkout? On top of that, speed is fine most of the time but dips during sales events.",neutral,"payment,performance"
"To be honest, a small visual artifact appears when rotating the device Furthermore, please add the ability to share product links directly to messaging apps. And i wish there was an option to stay logged in for longer periods.",neutral,"bug,feature_request,login"
"Lately everything feels laggy and unresponsive during peak hours Plus, i waited over an hour for a response from the help desk and still got no solution. On top of that, the product cards look cramped and hard to scan quickly Thanks!",negative,"performance,support,ui"
"The filter options stop working after the first selection Additionally, wishlist functionality is missing and I keep losing track of items Otherwise the experience is good.",negative,"bug,feature_request"
Overall the transaction failed twice when I tried to complete checkout.,negative,payment
"In my experience i encounter a random error code that forces me to restart the app Plus, login works on desktop but fails consistently on the mobile app.",negative,"bug,login"
"The recent addition of order notes is a nice touch Additionally, the agent understood the problem right away and fixed it.",positive,"feature_request,support"
"Overall everything feels responsive even when I browse many products Additionally, the support team followed up to make sure everything was working again Thanks!",positive,"performance,support"
"A rare flicker happens when opening the profile section Also, support for guest checkout without creating an account would be convenient Hope this gets fixed soon.",neutral,"bug,feature_request"
Password reset emails never arrive in my inbox And checkout throws an unexpected error after I confirm the amount.,negative,"login,payment"
"The absence of a price-drop alert is disappointing At the same time, pages take more than ten seconds to render after I click a link.",negative,"feature_request,performance"
"Just a heads-up: after the update the interface is confusing, pages load slowly, and login fails intermittently.",negative,"login,performance,ui"
Just wanted to mention that the help desk agent went the extra mile to fix the problem for me Keep up the good work.,positive,support
"A rare flicker happens when opening the profile section On top of that, adding a price-drop alert feature would help me a lot. Besides that, having social login options would be convenient.",neutral,"bug,feature_request,login"
Just a heads-up: the application crashes every time I try to open the order history.,negative,bug
"Honestly, it would be great if users could customize the home screen widgets.",neutral,feature_request
Quick note: navigation feels cluttered and important options are buried deep Keep up the good work.,negative,ui
"A rare flicker happens when opening the profile section Also, some banks seem to be unsupported at the moment.",neutral,"bug,payment"
Images fail to load and are replaced by broken-image icons This is frustrating.,negative,bug
Just wanted to mention that the back button sometimes closes the entire application instead of going back Hope this gets fixed soon.,negative,bug
The app takes forever to load even on a strong Wi-Fi connection.,negative,performance
"A comparison tool for similar products would be a welcome addition Furthermore, i wonder if there is a lighter version of the app for older phones Looking forward to an update.",neutral,"feature_request,performance"
"Honestly, the login page keeps saying invalid credentials even with the correct password Additionally, the payment gateway timed out and now I'm unsure if the order went through. Plus, the app takes forever to load even on a strong Wi-Fi connection Otherwise the experience is good.",negative,"login,payment,performance"
"For what it's worth, selecting any card payment method redirects me to a blank page Plus, scrolling through the product list is choppy and freezes frequently.",negative,"payment,performance"
Just a heads-up: i wonder if there is a lighter version of the app for older phones.,neutral,performance
The whole checkout flow felt secure and fast And the recent UI refresh made browsing much more pleasant Otherwise the experience is good.,positive,"payment,ui"
There might be a minor display glitch on certain Android versions And a longer session timeout would reduce the need to re-authenticate Otherwise the experience is good.,neutral,"bug,login"
