feedback,processed_text,sentiment,category
I noticed that the search results are incorrect This is frustrating.,noticed search result incorrect frustrating,negative,bug
"Honestly, the app becomes slow during checkout This is frustrating.",honestly app becomes slow checkout frustrating,negative,performance
"Unfortunately, the design is simple and user friendly I need assistance.",unfortunately design simple user friendly need assistance,neutral,ui
"Recently, the application freezes frequently This happens repeatedly.",recently application freeze frequently happens repeatedly,negative,performance
"For some reason, the app takes too long to load This happens repeatedly.",reason app take long load happens repeatedly,negative,performance
"Recently, every screen takes a long time to open",recently every screen take long time open,negative,performance
I noticed that i would like to schedule deliveries I need assistance.,noticed would like schedule delivery need assistance,neutral,feature_request
"Today, the app takes too long to load Please help.",today app take long load please help,negative,performance
"Today, i cannot complete the payment I need assistance.",today complete payment need assistance,negative,payment
"Unfortunately, the transaction was declined Can you fix this?",unfortunately transaction declined fix,negative,payment
"Honestly, can you add fingerprint login Please help.",honestly add fingerprint login please help,positive,feature_request
I noticed that the new interface looks clean,noticed new interface look clean,positive,ui
"Unfortunately, the support team did not resolve my problem Can you fix this?",unfortunately support team resolve problem fix,positive,support
"Honestly, pages are loading slowly This is frustrating.",honestly page loading slowly frustrating,negative,performance
"Today, the buttons are difficult to find This is frustrating.",today button difficult find frustrating,positive,ui
"Honestly, please add notifications for price changes I need assistance.",honestly please add notification price change need assistance,neutral,feature_request
"Recently, support took too long to respond Can you fix this?",recently support took long respond fix,negative,support
"For some reason, the application crashes when I open my profile This happens repeatedly.",reason application crash open profile happens repeatedly,negative,bug
"Honestly, please add more payment methods Can you fix this?",honestly please add payment method fix,neutral,feature_request
"Recently, the support team solved my issue quickly Please look into it.",recently support team solved issue quickly please look,negative,support
I am having trouble because i am unable to access my account Can you fix this?,trouble unable access account fix,negative,login
"Honestly, the website is extremely slow today Please look into it.",honestly website extremely slow today please look,negative,performance
"Recently, uPI payment is not going through",recently upi payment going,negative,payment
"Recently, the app logs me out whenever I try to sign in Please help.",recently app log whenever try sign please help,negative,login
I noticed that please provide an option to change the language I need assistance.,noticed please provide option change language need assistance,neutral,feature_request
"For some reason, my account login keeps failing I need assistance.",reason account login keep failing need assistance,negative,login
"For some reason, the password reset link is not working Can you fix this?",reason password reset link working fix,negative,login
I am having trouble because the buttons are difficult to find This is frustrating.,trouble button difficult find frustrating,positive,ui
"Honestly, the transaction was declined Please look into it.",honestly transaction declined please look,negative,payment
"For some reason, i cannot verify my account Please help.",reason verify account please help,negative,login
"For some reason, the application closes unexpectedly Please help.",reason application close unexpectedly please help,neutral,bug
"For some reason, the order status is displaying incorrectly This is frustrating.",reason order status displaying incorrectly frustrating,negative,bug
I noticed that the transaction was declined,noticed transaction declined,negative,payment
"Today, the app crashes whenever I upload a file I need assistance.",today app crash whenever upload file need assistance,negative,bug
"Unfortunately, the search results are incorrect Can you fix this?",unfortunately search result incorrect fix,negative,bug
"Today, login takes me back to the sign in page This is frustrating.",today login take back sign page frustrating,neutral,login
"Unfortunately, the app shows an error after checkout This is frustrating.",unfortunately app show error checkout frustrating,neutral,bug
I noticed that the application is very slow I need assistance.,noticed application slow need assistance,negative,performance
"Unfortunately, money was deducted but the payment failed This is frustrating.",unfortunately money deducted payment failed frustrating,negative,payment
"For some reason, the transaction was declined Please look into it.",reason transaction declined please look,negative,payment
"Honestly, i forgot my password and cannot sign in Can you fix this?",honestly forgot password sign fix,negative,login
"Honestly, support took too long to respond",honestly support took long respond,neutral,support
"Honestly, the app shows an error after checkout I need assistance.",honestly app show error checkout need assistance,negative,bug
The support staff were polite and professional Can you fix this?,support staff polite professional fix,positive,support
"Today, i have not received a response from support This is frustrating.",today received response support frustrating,positive,support
I am having trouble because it would be useful to have a wishlist Please look into it.,trouble would useful wishlist please look,positive,feature_request
I noticed that the menu layout is confusing Please look into it.,noticed menu layout confusing please look,positive,ui
I noticed that the page becomes blank after clicking the button Please look into it.,noticed page becomes blank clicking button please look,negative,bug
"Honestly, the support staff were polite and professional Please look into it.",honestly support staff polite professional please look,negative,support
I noticed that i would like an option to download invoices This happens repeatedly.,noticed would like option download invoice happens repeatedly,neutral,feature_request
"For some reason, my payment failed while placing the order I need assistance.",reason payment failed placing order need assistance,negative,payment
"Recently, please add more payment methods This happens repeatedly.",recently please add payment method happens repeatedly,neutral,feature_request
I am having trouble because the app takes too long to load Please look into it.,trouble app take long load please look,neutral,performance
"Honestly, i cannot verify my account I need assistance.",honestly verify account need assistance,neutral,login
"Honestly, the menu layout is confusing Can you fix this?",honestly menu layout confusing fix,negative,ui
I am having trouble because i forgot my password and cannot sign in,trouble forgot password sign,negative,login
"Unfortunately, please provide an option to change the language Please help.",unfortunately please provide option change language please help,neutral,feature_request
"For some reason, the application closes unexpectedly",reason application close unexpectedly,negative,bug
"Honestly, i found a bug in the checkout process Please look into it.",honestly found bug checkout process please look,neutral,bug
"Recently, please add more payment methods This is frustrating.",recently please add payment method frustrating,positive,feature_request
"For some reason, please provide an option to change the language This happens repeatedly.",reason please provide option change language happens repeatedly,neutral,feature_request
"Honestly, i would like an option to download invoices This is frustrating.",honestly would like option download invoice frustrating,neutral,feature_request
"Today, the application is very slow Please help.",today application slow please help,negative,performance
"Honestly, my account login keeps failing Please help.",honestly account login keep failing please help,neutral,login
I am having trouble because i found a bug in the checkout process This happens repeatedly.,trouble found bug checkout process happens repeatedly,negative,bug
It would be great to have a dark theme This happens repeatedly.,would great dark theme happens repeatedly,neutral,feature_request
"Honestly, i was charged but the order was not placed Can you fix this?",honestly charged order placed fix,negative,payment
I am having trouble because the order status is displaying incorrectly Please look into it.,trouble order status displaying incorrectly please look,negative,bug
"Unfortunately, customer service was very helpful Please help.",unfortunately customer service helpful please help,negative,support
"Honestly, the application closes unexpectedly I need assistance.",honestly application close unexpectedly need assistance,negative,bug
"Recently, the application freezes frequently Please look into it.",recently application freeze frequently please look,neutral,performance
I am having trouble because the app shows an error after checkout Can you fix this?,trouble app show error checkout fix,negative,bug
"Honestly, i am happy with the assistance I received I need assistance.",honestly happy assistance received need assistance,negative,support
"Honestly, the customer care representative was helpful",honestly customer care representative helpful,positive,support
"Unfortunately, i have not received a response from support",unfortunately received response support,negative,support
"Recently, the app shows an error after checkout Can you fix this?",recently app show error checkout fix,neutral,bug
I am having trouble because the dashboard looks great I need assistance.,trouble dashboard look great need assistance,negative,ui
I am having trouble because the support team solved my issue quickly Please look into it.,trouble support team solved issue quickly please look,positive,support
I noticed that i cannot verify my account This happens repeatedly.,noticed verify account happens repeatedly,negative,login
"Today, it would be great to have a dark theme Please look into it.",today would great dark theme please look,neutral,feature_request
I noticed that every screen takes a long time to open Please look into it.,noticed every screen take long time open please look,negative,performance
The notification is showing the wrong information This is frustrating.,notification showing wrong information frustrating,negative,bug
"Today, i am unable to access my account This is frustrating.",today unable access account frustrating,negative,login
"Unfortunately, login takes me back to the sign in page This is frustrating.",unfortunately login take back sign page frustrating,negative,login
Money was deducted but the payment failed I need assistance.,money deducted payment failed need assistance,negative,payment
I noticed that the application crashes when I open my profile Can you fix this?,noticed application crash open profile fix,neutral,bug
I am having trouble because something is broken in the application Please look into it.,trouble something broken application please look,negative,bug
I am having trouble because please add a filter for previous orders,trouble please add filter previous order,neutral,feature_request
"Honestly, the app crashes whenever I upload a file I need assistance.",honestly app crash whenever upload file need assistance,neutral,bug
Please add dark mode to the application Please look into it.,please add dark mode application please look,neutral,feature_request
"Today, the support team solved my issue quickly I need assistance.",today support team solved issue quickly need assistance,negative,support
"Today, nobody from customer support has contacted me Can you fix this?",today nobody customer support contacted fix,neutral,support
"Unfortunately, the website is extremely slow today I need assistance.",unfortunately website extremely slow today need assistance,neutral,performance
My account login keeps failing Please look into it.,account login keep failing please look,negative,login
"Today, i am unable to pay for my order Please look into it.",today unable pay order please look,negative,payment
"Honestly, the app crashes whenever I upload a file This is frustrating.",honestly app crash whenever upload file frustrating,negative,bug
I am having trouble because i am unable to access my account Can you fix this?,trouble unable access account fix,negative,login
I am having trouble because the dashboard looks great Can you fix this?,trouble dashboard look great fix,positive,ui
"Today, the dashboard looks great This happens repeatedly.",today dashboard look great happens repeatedly,negative,ui
"Unfortunately, the support experience was disappointing This happens repeatedly.",unfortunately support experience disappointing happens repeatedly,positive,support
I noticed that the application is very slow This is frustrating.,noticed application slow frustrating,neutral,performance
"Honestly, money was deducted but the payment failed",honestly money deducted payment failed,negative,payment
"Today, i cannot login to my account This happens repeatedly.",today login account happens repeatedly,negative,login
"Honestly, i cannot verify my account I need assistance.",honestly verify account need assistance,negative,login
"Today, please add a filter for previous orders This is frustrating.",today please add filter previous order frustrating,neutral,feature_request
"Unfortunately, the application is very slow Please look into it.",unfortunately application slow please look,negative,performance
"Unfortunately, the colors and layout make the app easy to use This is frustrating.",unfortunately color layout make app easy use frustrating,positive,ui
I am having trouble because the text on the screen is too small,trouble text screen small,positive,ui
"Recently, please add more payment methods I need assistance.",recently please add payment method need assistance,neutral,feature_request
I noticed that the support staff were polite and professional I need assistance.,noticed support staff polite professional need assistance,negative,support
Login takes me back to the sign in page This happens repeatedly.,login take back sign page happens repeatedly,negative,login
I am having trouble because the search results are incorrect This happens repeatedly.,trouble search result incorrect happens repeatedly,negative,bug
"Unfortunately, the website response time is very poor Please look into it.",unfortunately website response time poor please look,negative,performance
"Honestly, the text on the screen is too small",honestly text screen small,negative,ui
"Honestly, i am unable to access my account I need assistance.",honestly unable access account need assistance,negative,login
"For some reason, the text on the screen is too small This is frustrating.",reason text screen small frustrating,positive,ui
"Recently, the notification is showing the wrong information This is frustrating.",recently notification showing wrong information frustrating,negative,bug
"Recently, i have not received a response from support Can you fix this?",recently received response support fix,negative,support
I noticed that the colors and layout make the app easy to use This happens repeatedly.,noticed color layout make app easy use happens repeatedly,negative,ui
I noticed that i cannot complete the payment,noticed complete payment,negative,payment
"Today, the dashboard looks great",today dashboard look great,positive,ui
I am having trouble because the application interface is easy to use Please help.,trouble application interface easy use please help,positive,ui
"Today, the support team solved my issue quickly Please help.",today support team solved issue quickly please help,negative,support
I noticed that customer service was very helpful This is frustrating.,noticed customer service helpful frustrating,positive,support
"Recently, my payment is stuck I need assistance.",recently payment stuck need assistance,negative,payment
"For some reason, i would like an option to download invoices Can you fix this?",reason would like option download invoice fix,neutral,feature_request
"Recently, the page becomes blank after clicking the button I need assistance.",recently page becomes blank clicking button need assistance,negative,bug
"Honestly, the support staff were polite and professional Please look into it.",honestly support staff polite professional please look,positive,support
I am having trouble because the menu layout is confusing This is frustrating.,trouble menu layout confusing frustrating,negative,ui
"Today, the password reset link is not working Please help.",today password reset link working please help,negative,login
"Today, the dashboard looks great Can you fix this?",today dashboard look great fix,negative,ui
"Honestly, the card payment keeps failing Can you fix this?",honestly card payment keep failing fix,negative,payment
I noticed that please add a filter for previous orders Please help.,noticed please add filter previous order please help,neutral,feature_request
"Unfortunately, i would like an option to download invoices Please look into it.",unfortunately would like option download invoice please look,neutral,feature_request
I noticed that i cannot verify my account,noticed verify account,negative,login
"Unfortunately, i have not received a response from support This happens repeatedly.",unfortunately received response support happens repeatedly,positive,support
"For some reason, the application closes unexpectedly This happens repeatedly.",reason application close unexpectedly happens repeatedly,negative,bug
The colors and layout make the app easy to use Please look into it.,color layout make app easy use please look,negative,ui
"Today, my payment failed while placing the order This happens repeatedly.",today payment failed placing order happens repeatedly,negative,payment
I noticed that the application is very slow,noticed application slow,negative,performance
"Honestly, i was charged but the order was not placed I need assistance.",honestly charged order placed need assistance,negative,payment
"Honestly, the application freezes frequently This is frustrating.",honestly application freeze frequently frustrating,negative,performance
"Honestly, the transaction was declined Can you fix this?",honestly transaction declined fix,negative,payment
"Honestly, the payment page shows an error This is frustrating.",honestly payment page show error frustrating,negative,payment
"Honestly, the application is very slow Please look into it.",honestly application slow please look,negative,performance
The password reset link is not working Please look into it.,password reset link working please look,negative,login
"Unfortunately, i cannot complete the payment Can you fix this?",unfortunately complete payment fix,negative,payment
I am having trouble because i was charged but the order was not placed Can you fix this?,trouble charged order placed fix,negative,payment
I am having trouble because the search results are incorrect Please look into it.,trouble search result incorrect please look,negative,bug
"For some reason, the app shows an error after checkout I need assistance.",reason app show error checkout need assistance,negative,bug
"Honestly, the support experience was disappointing Please help.",honestly support experience disappointing please help,neutral,support
I noticed that the menu layout is confusing Please help.,noticed menu layout confusing please help,positive,ui
"Today, my account login keeps failing Please help.",today account login keep failing please help,negative,login
"Today, the notification is showing the wrong information This is frustrating.",today notification showing wrong information frustrating,negative,bug
"Today, i found a bug in the checkout process",today found bug checkout process,negative,bug
I noticed that the buttons are difficult to find I need assistance.,noticed button difficult find need assistance,positive,ui
"Unfortunately, i am unable to pay for my order This is frustrating.",unfortunately unable pay order frustrating,negative,payment
Pages are loading slowly,page loading slowly,negative,performance
I am having trouble because i would like to schedule deliveries I need assistance.,trouble would like schedule delivery need assistance,positive,feature_request
"Honestly, i cannot login to my account I need assistance.",honestly login account need assistance,negative,login
"Honestly, i forgot my password and cannot sign in Please look into it.",honestly forgot password sign please look,negative,login
"Recently, i would like to schedule deliveries This is frustrating.",recently would like schedule delivery frustrating,neutral,feature_request
"Unfortunately, i found a bug in the checkout process This happens repeatedly.",unfortunately found bug checkout process happens repeatedly,negative,bug
"Recently, the app logs me out whenever I try to sign in",recently app log whenever try sign,negative,login
"Today, the support staff were polite and professional Please look into it.",today support staff polite professional please look,negative,support
I noticed that can you add fingerprint login This happens repeatedly.,noticed add fingerprint login happens repeatedly,positive,feature_request
The colors and layout make the app easy to use Please help.,color layout make app easy use please help,positive,ui
"Honestly, the buttons are difficult to find Please look into it.",honestly button difficult find please look,negative,ui
I noticed that my account login keeps failing Can you fix this?,noticed account login keep failing fix,negative,login
"Honestly, the transaction was declined This happens repeatedly.",honestly transaction declined happens repeatedly,negative,payment
I noticed that my account login keeps failing,noticed account login keep failing,negative,login
I noticed that it would be useful to have a wishlist Can you fix this?,noticed would useful wishlist fix,neutral,feature_request
"Today, money was deducted but the payment failed",today money deducted payment failed,negative,payment
"Honestly, the login page is not working Please help.",honestly login page working please help,negative,login
"Recently, the new interface looks clean Can you fix this?",recently new interface look clean fix,neutral,ui
"Recently, the application interface is easy to use Please look into it.",recently application interface easy use please look,negative,ui
"Honestly, i found a bug in the checkout process",honestly found bug checkout process,neutral,bug
I am having trouble because i have not received a response from support Can you fix this?,trouble received response support fix,positive,support
"For some reason, the login page is not working This is frustrating.",reason login page working frustrating,negative,login
Can you add fingerprint login I need assistance.,add fingerprint login need assistance,neutral,feature_request
"For some reason, i cannot complete the payment Please help.",reason complete payment please help,negative,payment
"Unfortunately, the support team solved my issue quickly This is frustrating.",unfortunately support team solved issue quickly frustrating,negative,support
I noticed that the application is lagging badly,noticed application lagging badly,negative,performance
"Unfortunately, i am unable to pay for my order Please look into it.",unfortunately unable pay order please look,negative,payment
"Recently, i cannot login to my account Please look into it.",recently login account please look,negative,login
"Today, the application is lagging badly I need assistance.",today application lagging badly need assistance,neutral,performance
The application crashes when I open my profile Please look into it.,application crash open profile please look,negative,bug
I am having trouble because please add dark mode to the application Can you fix this?,trouble please add dark mode application fix,positive,feature_request
"Today, my payment failed while placing the order Please look into it.",today payment failed placing order please look,negative,payment
"Today, the password reset link is not working This happens repeatedly.",today password reset link working happens repeatedly,negative,login
"Recently, the navigation is difficult to understand Please help.",recently navigation difficult understand please help,negative,ui
"For some reason, the text on the screen is too small Please look into it.",reason text screen small please look,positive,ui
"Honestly, i cannot verify my account I need assistance.",honestly verify account need assistance,negative,login
"Honestly, i am unable to access my account This happens repeatedly.",honestly unable access account happens repeatedly,negative,login
"Today, the customer care representative was helpful This is frustrating.",today customer care representative helpful frustrating,negative,support
"Honestly, customer service was very helpful This is frustrating.",honestly customer service helpful frustrating,positive,support
"Honestly, i forgot my password and cannot sign in Can you fix this?",honestly forgot password sign fix,negative,login
"Honestly, the website response time is very poor Please look into it.",honestly website response time poor please look,negative,performance
I noticed that the support team did not resolve my problem This is frustrating.,noticed support team resolve problem frustrating,negative,support
"Recently, the customer care representative was helpful I need assistance.",recently customer care representative helpful need assistance,negative,support
I noticed that the buttons are difficult to find Please help.,noticed button difficult find please help,positive,ui
"Recently, login takes me back to the sign in page I need assistance.",recently login take back sign page need assistance,negative,login
"Unfortunately, the login page is not working I need assistance.",unfortunately login page working need assistance,negative,login
"Today, the password reset link is not working Can you fix this?",today password reset link working fix,negative,login
I noticed that can you add fingerprint login Please help.,noticed add fingerprint login please help,neutral,feature_request
"Today, it would be great to have a dark theme Please look into it.",today would great dark theme please look,positive,feature_request
I am having trouble because please add more payment methods Please help.,trouble please add payment method please help,positive,feature_request
I cannot complete the payment Can you fix this?,complete payment fix,neutral,payment
I have not received a response from support This is frustrating.,received response support frustrating,negative,support
"Recently, please add notifications for price changes Please help.",recently please add notification price change please help,neutral,feature_request
I noticed that the interface needs improvement Can you fix this?,noticed interface need improvement fix,positive,ui
I am having trouble because the login page is not working Please look into it.,trouble login page working please look,neutral,login
"Honestly, i cannot complete the payment Please look into it.",honestly complete payment please look,negative,payment
